height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
190,86,Italy,87,87,Right,3,3,2,2020,30,Centre-Back,CB,42000000,summer,Serie A,2017,44,37,84,75,55,68,56,61,83,75,64,74,60,84,54,74,85,73,85,65,82,90,38,74,70,82,84,88,88,2,2,3,2,4
187,80,Gabon,86,87,Right,3,4,3,2020,28,Centre-Forward,CF,63750000,winter,Premier League,2017,77,88,78,77,84,81,78,74,64,81,95,96,80,86,66,79,76,79,77,78,45,48,87,77,84,79,28,25,36,6,9,15,9,9
175,70,France,86,86,Left,3,2,2,2018,30,Central Midfield,CM,25000000,summer,Serie A,2017,75,65,73,84,72,73,65,52,79,79,79,79,77,86,79,74,83,94,78,66,85,87,70,77,56,85,83,85,83,8,11,5,10,14
175,73,France,85,89,Right,3,3,4,2019,26,Centre-Forward,CF,53000000,summer,Premier League,2017,70,86,76,80,82,85,74,73,68,83,84,87,87,84,84,81,78,80,77,74,70,40,86,77,82,86,23,29,30,11,6,9,5,6
185,82,France,85,85,Right,3,3,1,2019,32,Goalkeeper,GK,3000000,summer,Ligue 1,2017,14,13,13,31,13,11,13,12,28,12,53,43,52,81,36,24,74,31,61,11,37,23,11,51,11,63,10,12,13,86,80,79,81,85
177,75,Armenia,85,85,Right,3,5,4,2020,29,Central Midfield,CM,34000000,winter,Premier League,2017,80,73,53,85,81,86,83,64,73,89,84,82,88,83,83,87,72,85,63,75,69,68,83,85,72,67,49,53,55,5,11,14,5,7
189,85,France,84,88,Left,2,2,2,2020,23,Centre-Back,CB,65000000,winter,Premier League,2017,58,45,85,73,40,55,62,77,78,71,58,71,49,82,55,70,77,73,84,47,72,85,54,52,35,68,86,88,85,10,11,5,14,5
186,85,Poland,84,86,Right,3,3,2,2021,27,Defensive Midfield,DM,5000000,summer,Premier League,2017,59,42,83,81,40,63,46,62,85,77,66,73,59,80,52,81,75,79,92,70,89,85,52,73,78,83,75,87,72,15,14,8,6,7
187,83,Turkey,84,85,Right,3,5,2,2018,27,Centre-Back,CB,12000000,summer,Ger Bundesliga,2017,49,28,84,75,55,64,44,33,69,72,75,77,65,82,61,63,82,68,79,36,74,85,35,59,48,78,87,86,84,11,8,11,12,15
196,91,England,84,84,Right,3,3,1,2017,31,Goalkeeper,GK,1500000,summer,Premier League,2017,14,14,10,32,19,23,17,13,35,20,59,60,50,77,32,65,72,28,61,19,28,25,14,42,68,66,14,14,13,84,81,75,82,87
196,91,England,84,84,Right,3,3,1,2017,30,Goalkeeper,GK,1500000,summer,Premier League,2017,14,14,10,32,19,23,17,13,35,20,59,60,50,77,32,65,72,28,61,19,28,25,14,42,68,66,14,14,13,84,81,75,82,87
196,91,England,84,84,Right,3,3,1,2017,30,Goalkeeper,GK,2300000,summer,Premier League,2017,14,14,10,32,19,23,17,13,35,20,59,60,50,77,32,65,72,28,61,19,28,25,14,42,68,66,14,14,13,84,81,75,82,87
187,82,Germany,84,84,Right,3,3,2,2020,29,Centre-Back,CB,3500000,summer,Serie A,2017,58,48,83,74,38,60,38,52,64,70,63,67,65,82,61,62,82,69,81,31,79,85,51,57,56,82,85,84,84,14,6,9,10,7
176,76,Ivory Coast,83,88,Right,2,3,3,2019,24,Right-Back,RB,25000000,summer,Premier League,2017,80,65,77,79,50,76,69,30,71,79,84,85,76,82,78,78,93,87,84,58,81,79,74,71,66,75,80,82,83,7,10,15,16,9
