height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,short_pos,fee,window,league,season
180,76,England,87,93,Right,3,3,5,2023.0,83,81,38,88,83,92,81,48,68,91,86,81,91,87,90,70,51,77,67,63,44,39,83,87,60,84,94,41,32,7,11,10,11,13,21.0,Left Winger,LW,85000000.0,summer,Premier League,2021
187,80,Gabon,87,87,Right,3,4,4,2021.0,76,91,75,77,84,80,81,76,64,82,91,94,77,88,68,82,75,80,74,78,43,48,93,77,78,88,86,29,36,6,9,15,9,9,32.0,Centre-Forward,CF,4000000.0,winter,Laliga,2021
176,73,France,87,87,Left,4,3,4,2024.0,83,88,83,84,87,87,86,85,82,89,80,79,91,92,83,81,90,86,63,82,73,49,89,85,86,89,49,54,49,14,8,14,13,14,30.0,Centre-Forward,CF,10000000.0,summer,Laliga,2021
191,81,France,86,88,Right,3,3,2,2022.0,42,46,85,78,42,55,46,52,77,79,79,85,62,86,39,52,81,75,86,53,80,87,52,59,43,83,50,87,86,11,11,9,5,14,28.0,Centre-Back,CB,40000000.0,summer,Premier League,2021
196,90,Italy,85,92,Right,3,3,1,2021.0,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,57,72,34,72,18,30,26,14,50,24,68,25,14,16,89,81,76,83,89,22.0,Goalkeeper,GK,45000000.0,summer,Ligue 1,2021
176,78,Netherlands,85,88,Right,3,3,5,2021.0,83,83,65,81,74,85,85,86,74,84,85,87,80,82,79,87,76,81,81,83,75,28,84,84,73,78,67,31,20,8,14,6,12,10,27.0,Centre-Forward,CF,14000000.0,summer,Laliga,2021
175,69,Netherlands,85,85,Right,3,4,4,2021.0,72,75,78,88,73,85,78,73,81,88,77,76,84,86,88,78,81,93,74,73,75,79,79,79,74,86,87,79,69,16,6,14,12,6,30.0,Central Midfield,CM,6000000.0,summer,Ligue 1,2021
184,76,France,84,88,Right,3,3,4,2024.0,72,85,71,80,75,89,84,54,63,87,88,90,83,82,79,83,70,77,76,79,54,42,84,77,81,82,85,39,36,9,8,8,15,11,26.0,Centre-Forward,CF,15000000.0,winter,Laliga,2021
178,74,France,84,85,Left,2,2,3,2023.0,87,60,71,81,68,78,83,83,73,83,78,78,69,83,78,83,92,85,69,76,76,82,72,74,60,80,88,83,84,6,12,9,6,13,28.0,Left-Back,LB,30000000.0,winter,Premier League,2021
178,68,Norway,83,89,Left,3,2,5,2023.0,84,74,52,83,73,86,81,83,81,85,80,77,85,74,83,76,46,80,55,78,64,65,77,87,63,76,71,49,51,14,15,15,8,10,22.0,Attacking Midfield,AM,90000000.0,summer,Laliga,2021
178,68,Norway,83,89,Left,3,2,5,2023.0,84,74,52,83,73,86,81,83,81,85,80,77,85,74,83,76,46,80,55,78,64,65,77,87,63,76,71,49,51,14,15,15,8,10,22.0,Attacking Midfield,AM,35000000.0,summer,Premier League,2021
184,74,Netherlands,83,87,Right,3,3,3,2025.0,67,79,69,82,80,76,78,65,79,85,67,73,72,85,70,83,71,92,76,80,75,73,84,82,63,85,80,74,68,7,12,8,10,14,24.0,Central Midfield,CM,10000000.0,winter,Premier League,2021
184,74,Netherlands,83,87,Right,3,3,3,2025.0,67,79,69,82,80,76,78,65,79,85,67,73,72,85,70,83,71,92,76,80,75,73,84,82,63,85,80,74,68,7,12,8,10,14,25.0,Central Midfield,CM,10000000.0,summer,Premier League,2021
178,76,Austria,83,85,Right,3,4,3,2022.0,74,81,60,83,82,79,75,78,79,82,76,83,75,86,80,88,71,84,76,88,77,64,83,83,65,80,58,64,59,11,13,14,15,13,27.0,Central Midfield,CM,15000000.0,summer,Ger Bundesliga,2021
189,83,Greece,83,84,Right,3,2,2,2024.0,27,25,80,60,16,54,30,10,61,65,80,83,67,81,60,40,86,69,81,12,86,86,25,22,26,83,85,85,87,8,6,8,15,12,30.0,Centre-Back,CB,2500000.0,winter,Super League 1,2021
