height_cm,weight_kg,nationality,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,position_group,age,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
180,67,United States,70,80,Right,1,4,3,2023,midfielder,21,2000000,summer,Eredivisie,2022,55,64,63,72,36,68,52,48,67,72,71,65,72,67,70,60,63,73,63,59,60,52,68,75,53,50,60,59,57,14,15,11,12,5
193,79,Belgium,67,72,Right,1,3,2,2023,midfielder,23,2000000,summer,Jupiler Pro League,2022,57,69,66,68,68,66,67,62,67,68,54,65,62,67,59,72,60,72,68,67,65,62,71,64,52,68,42,59,52,5,13,14,12,6
177,68,Argentina,80,83,Left,1,3,4,2023,midfielder,26,14000000,summer,Laliga,2022,79,73,60,84,69,82,82,79,83,84,76,75,83,80,80,82,57,75,70,74,82,70,75,84,65,80,64,73,68,10,7,10,14,10
177,68,Argentina,80,83,Left,1,3,4,2023,midfielder,26,14000000,summer,Premier League,2022,79,73,60,84,69,82,82,79,83,84,76,75,83,80,80,82,57,75,70,74,82,70,75,84,65,80,64,73,68,10,7,10,14,10
180,70,Burkina Faso,72,83,Right,1,3,2,2023,defender,21,7000000,summer,Ligue 1,2022,72,22,55,67,22,71,31,29,65,69,91,91,83,65,73,42,84,73,67,26,75,61,57,53,24,54,60,67,68,10,8,9,14,13
180,70,Burkina Faso,72,83,Right,1,3,2,2023,defender,21,7000000,summer,Premier League,2022,72,22,55,67,22,71,31,29,65,69,91,91,83,65,73,42,84,73,67,26,75,61,57,53,24,54,60,67,68,10,8,9,14,13
193,79,Ukraine,62,70,Right,1,4,2,2023,attacker,21,1500000,summer,Ligue 1,2022,34,67,69,49,50,63,46,41,38,58,59,63,52,54,44,60,61,55,70,58,33,20,61,49,71,48,17,18,17,13,9,10,10,7
193,79,Ukraine,62,70,Right,1,4,2,2023,attacker,21,1500000,summer,Scottish Premiership,2022,34,67,69,49,50,63,46,41,38,58,59,63,52,54,44,60,61,55,70,58,33,20,61,49,71,48,17,18,17,13,9,10,10,7
182,75,Ukraine,73,76,Right,1,4,3,2023,midfielder,26,1500000,summer,Serie A,2022,71,71,59,74,76,73,75,67,68,75,76,75,74,68,76,70,64,82,72,73,57,62,73,71,68,64,59,59,55,15,12,6,11,10
184,74,Poland,65,76,Right,1,3,3,2023,midfielder,22,2000000,winter,Serie A,2022,54,64,48,67,57,66,58,47,64,67,73,69,76,64,72,59,64,73,64,63,52,30,65,66,54,66,37,32,37,9,7,12,8,8
180,70,United States,65,82,Right,1,3,4,2022,midfielder,19,2000000,winter,Ger Bundesliga,2022,56,58,33,70,61,67,61,52,65,64,78,73,80,60,75,64,52,64,54,61,61,40,63,62,41,60,50,44,38,14,5,11,9,11
195,83,Sweden,59,77,Right,1,3,2,2022,defender,20,1500000,winter,Allsvenskan,2022,21,22,56,50,28,38,28,21,47,50,51,63,40,56,36,39,50,45,73,21,67,56,30,35,32,46,57,60,58,11,14,13,15,13
178,73,Germany,70,80,Left,1,2,2,2022,defender,21,1000000,winter,Ger Bundesliga,2022,63,40,53,70,31,74,41,31,54,73,74,70,77,68,76,46,54,67,54,32,59,67,48,50,41,70,68,70,68,12,13,12,10,8
173,69,Norway,65,69,Right,1,2,3,2022,attacker,24,1800000,winter,Allsvenskan,2022,61,59,47,64,45,65,68,68,58,67,74,70,81,63,81,56,83,70,60,52,37,34,65,65,52,59,35,37,35,12,10,11,13,10
195,94,France,81,83,Right,2,3,1,2022,goalkeeper,29,10000000,summer,Ligue 1,2022,20,19,14,48,16,15,16,16,37,22,56,54,58,75,58,56,72,38,80,14,26,23,17,51,25,64,13,18,12,85,79,75,84,73
195,94,France,81,83,Right,2,3,1,2022,goalkeeper,29,9300000,summer,Premier League,2022,20,19,14,48,16,15,16,16,37,22,56,54,58,75,58,56,72,38,80,14,26,23,17,51,25,64,13,18,12,85,79,75,84,73
188,90,Netherlands,75,75,Right,1,4,4,2022,attacker,27,2500000,summer,Eredivisie,2022,74,77,72,73,67,78,75,73,54,78,68,77,68,79,65,84,52,67,75,77,55,28,78,73,80,72,40,28,15,13,9,7,14,11
188,90,Netherlands,75,75,Right,1,4,4,2022,attacker,27,3000000,summer,Premier League,2022,74,77,72,73,67,78,75,73,54,78,68,77,68,79,65,84,52,67,75,77,55,28,78,73,80,72,40,28,15,13,9,7,14,11
173,67,Italy,79,79,Right,3,4,3,2022,defender,31,2700000,summer,Serie A,2022,76,73,70,83,84,75,71,71,76,84,79,74,86,77,82,82,73,82,50,81,66,77,69,80,73,79,76,74,70,9,8,10,10,10
173,67,Italy,79,79,Right,3,4,3,2022,defender,31,2000000,summer,Serie A,2022,76,73,70,83,84,75,71,71,76,84,79,74,86,77,82,82,73,82,50,81,66,77,69,80,73,79,76,74,70,9,8,10,10,10
