height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,fee,window,league,season
187,84,Tunisia,79,83,Left,2018.0,66,50,74,71,31,58,47,38,66,68,68,76,66,76,68,74,72,75,90,65,85,79,52,52,50,,79,79,79,11,7,6,7,14,26,Centre-Back,22000000,summer,Laliga,2015
187,71,Netherlands,88,88,Left,2016.0,81,91,73,85,92,84,86,81,75,87,73,74,80,88,59,90,59,72,72,86,55,34,90,82,86,,23,32,21,9,10,5,7,8,31,Centre-Forward,6500000,summer,Super Lig,2015
183,79,Germany,88,88,Right,2016.0,81,76,79,88,83,81,82,78,87,86,58,64,74,90,75,86,82,86,77,86,80,86,82,86,81,,69,80,77,14,14,13,13,11,30,Central Midfield,9000000,summer,Premier League,2015
180,70,Argentina,86,88,Left,2019.0,91,75,53,82,77,88,83,72,81,86,90,90,90,80,79,88,72,79,64,79,76,72,84,83,73,,42,63,61,10,7,11,12,11,27,Right Winger,63000000,summer,Ligue 1,2015
180,75,Chile,85,87,Right,2017.0,76,78,71,85,78,80,76,65,79,84,79,77,79,84,78,77,81,93,75,78,89,86,79,80,86,,75,83,89,4,2,4,2,4,28,Central Midfield,39250000,summer,1 Bundesliga,2015
196,90,Czech Republic,85,85,Left,2016.0,25,25,25,35,25,25,25,25,33,32,45,52,49,86,50,21,38,32,65,25,25,23,25,25,43,,25,25,25,83,84,73,83,84,33,Goalkeeper,14000000,summer,Premier League,2015
177,76,Turkey,84,88,Right,2017.0,82,72,70,85,80,86,81,64,80,88,79,73,86,83,85,74,79,71,69,77,78,51,82,86,73,,58,64,70,11,7,11,12,11,28,Left Winger,34000000,summer,Laliga,2015
187,84,Croatia,83,83,Right,2018.0,64,85,91,74,82,75,58,45,42,79,74,76,76,83,50,83,86,84,87,75,90,41,84,53,80,,25,48,36,10,8,5,8,15,29,Centre-Forward,19000000,summer,Serie A,2015
185,85,Colombia,82,85,Right,2017.0,61,86,85,72,83,77,66,34,63,79,78,85,78,80,70,85,85,84,86,66,83,47,85,71,70,,27,47,33,15,5,12,14,14,28,Centre-Forward,35000000,summer,Laliga,2015
200,83,Bosnia Herzegovina,82,84,Right,2016.0,25,25,25,26,25,25,25,25,23,24,52,58,53,78,41,28,38,36,82,25,42,21,25,25,40,,25,25,25,84,81,74,80,85,28,Goalkeeper,11000000,summer,Premier League,2015
175,72,France,81,81,Right,2017.0,77,70,69,85,73,74,79,83,82,83,67,69,78,79,77,82,70,83,66,81,77,79,70,84,82,,68,72,66,13,8,15,7,11,29,Central Midfield,13900000,summer,Premier League,2015
167,58,France,81,81,Right,2017.0,80,71,58,82,72,80,82,75,75,83,90,82,91,78,93,75,46,81,35,76,52,39,76,80,72,,28,26,34,14,12,8,6,8,30,Attacking Midfield,6000000,summer,Ligue 1,2015
181,77,Colombia,81,81,Right,2018.0,61,84,71,67,77,80,63,59,52,79,84,79,83,82,71,81,75,73,78,80,38,34,84,66,79,,25,25,25,12,12,8,5,8,28,Centre-Forward,33300000,summer,Serie A,2015
170,69,England,80,86,Right,2016.0,72,71,38,74,59,84,64,49,66,82,94,92,88,74,91,67,49,75,67,69,34,26,75,69,63,,48,58,54,15,12,12,15,9,20,Left Winger,63700000,summer,Premier League,2015
