height_cm,weight_kg,nationality,overall,potential,preferred_foot,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age,fee,window,league,season,position_group
174,68,Brazil,92,95,Right,2021,75,89,62,81,83,96,78,79,75,95,93,90,96,88,82,78,61,70,49,77,56,36,90,80,81,80,21,24,33,9,9,15,15,11,25,222000000,summer,Ligue 1,2017,attacker
178,73,France,83,94,Right,2018,70,87,76,78,74,86,75,58,68,87,89,90,78,79,76,79,71,83,74,68,62,49,79,77,70,80,41,44,40,13,5,7,11,6,19,180000000,summer,Ligue 1,2018,attacker
178,67,France,77,90,Left,2021,67,77,43,72,63,85,66,65,65,81,83,85,81,66,74,71,58,72,44,65,47,33,74,73,67,70,45,39,45,6,6,14,10,13,20,135000000,summer,Laliga,2017,attacker
180,70,Portugal,69,85,Right,2022,64,59,40,68,64,77,72,51,61,76,77,78,79,67,75,68,51,73,32,51,51,38,52,68,53,68,28,42,35,13,12,14,13,14,19,127200000,summer,Laliga,2019,attacker
176,73,France,89,90,Left,2023,82,92,84,82,87,88,84,76,76,90,88,85,90,90,80,80,90,81,62,82,69,35,91,81,74,87,59,43,44,14,8,14,13,14,28,120000000,summer,Laliga,2019,attacker
180,68,England,80,83,Right,2025,78,73,36,81,72,85,76,74,77,82,78,74,85,79,82,75,37,76,61,77,48,44,76,83,58,82,52,49,43,11,6,11,10,13,25,117500000,summer,Premier League,2021,attacker
185,80,Portugal,94,94,Right,2021,85,94,88,83,88,91,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95,22,31,23,7,11,15,14,11,33,117000000,summer,Serie A,2018,attacker
173,74,Belgium,91,91,Right,2020,81,84,61,89,80,95,83,79,83,94,93,89,95,90,94,80,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,28,115000000,summer,Laliga,2019,attacker
191,94,Belgium,85,86,Left,2024,73,86,85,79,77,78,78,66,71,78,77,84,60,86,46,87,71,73,95,74,71,27,86,78,78,83,75,41,30,8,15,14,7,10,28,113000000,summer,Premier League,2021,attacker
188,80,France,86,92,Right,2019,76,70,72,85,84,88,82,80,81,89,75,79,75,86,61,91,85,87,91,91,80,71,83,86,76,69,71,77,83,5,6,2,4,3,23,105000000,summer,Premier League,2016,midfielder
178,66,Brazil,62,77,Right,2024,53,46,47,65,53,74,59,50,62,71,69,74,57,63,62,58,51,48,53,40,40,23,48,59,62,63,41,38,48,6,11,15,12,11,22,95000000,summer,Premier League,2022,attacker
184,82,Argentina,84,86,Right,2018,72,89,77,70,83,82,72,62,55,84,79,81,72,83,60,84,73,69,80,77,50,19,88,70,74,66,15,15,10,5,12,7,5,10,28,90000000,summer,Serie A,2016,attacker
194,100,England,82,84,Right,2022,44,40,87,77,40,70,37,46,72,74,39,53,52,76,58,66,74,67,89,40,83,77,59,60,42,76,80,83,80,14,16,9,14,9,26,87000000,summer,Premier League,2019,defender
180,70,Netherlands,77,86,Right,2022,74,52,63,83,64,87,74,61,75,85,72,74,83,68,77,68,64,69,67,55,55,74,58,84,45,80,69,62,55,7,13,10,10,9,22,86000000,summer,Laliga,2019,midfielder
188,89,Netherlands,80,91,Right,2021,57,53,80,75,40,64,48,55,72,70,62,72,56,75,59,79,80,74,87,61,78,78,44,63,40,74,81,82,77,12,11,11,12,10,19,85500000,summer,Serie A,2019,defender
180,76,England,87,93,Right,2023,83,81,38,88,83,92,81,48,68,91,86,81,91,87,90,70,51,77,67,63,44,39,83,87,60,84,94,41,32,7,11,10,11,13,21,85000000,summer,Premier League,2021,attacker
