club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Athletic Bilbao,Raúl García,29,Spain,Centre-Forward,CF,2500000.0,Atlético Madrid,Spain,10000000.0,in,summer,Laliga,2015,False,
Athletic Bilbao,Javi Eraso,25,Spain,Central Midfield,CM,,CD Leganés,Spain,0.0,in,summer,Laliga,2015,False,
Athletic Bilbao,Eneko Bóveda,26,Spain,Right-Back,RB,,SD Eibar,Spain,0.0,in,summer,Laliga,2015,False,
Athletic Bilbao,Gorka Elustondo,28,Spain,Central Midfield,CM,,Real Sociedad,Spain,0.0,in,summer,Laliga,2015,False,
Athletic Bilbao,Andoni Iraola,33,Spain,Right-Back,RB,,New York City,United States,0.0,out,summer,Laliga,2015,False,
Athletic Bilbao,Unai Albizua,26,Spain,Centre-Back,CB,,CD Leganés,Spain,0.0,out,summer,Laliga,2015,False,
Athletic Bilbao,Gaizka Toquero,30,Spain,Right Winger,RW,,Alavés,Spain,0.0,out,summer,Laliga,2015,False,
Athletic Bilbao,Iñigo Ruiz de Galarreta,22,Spain,Central Midfield,CM,3000000.0,CD Numancia,Spain,0.0,out,summer,Laliga,2015,False,
Atlético de Madrid,Jackson Martínez,28,Colombia,Centre-Forward,CF,,FC Porto,Portugal,35000000.0,in,summer,Laliga,2015,False,
Atlético de Madrid,Luciano Vietto,21,Argentina,Centre-Forward,CF,2300000.0,Villarreal,Spain,20000000.0,in,summer,Laliga,2015,False,
Atlético de Madrid,Filipe Luís,29,Brazil,Left-Back,LB,,Chelsea,England,16000000.0,in,summer,Laliga,2015,False,
Atlético de Madrid,Yannick Carrasco,21,Belgium,Left Winger,LW,20000000.0,Monaco,France,15000000.0,in,summer,Laliga,2015,False,
Atlético de Madrid,Stefan Savic,24,Montenegro,Centre-Back,CB,6000000.0,Fiorentina,Italy,12000000.0,in,summer,Laliga,2015,False,
Atlético de Madrid,Bernard Mensah,20,Ghana,Attacking Midfield,AM,2400000.0,Vit. Guimarães,Portugal,6000000.0,in,summer,Laliga,2015,False,
Atlético de Madrid,Matías Kranevitter,22,Argentina,Defensive Midfield,DM,2000000.0,River Plate,Argentina,6000000.0,in,summer,Laliga,2015,False,
Atlético de Madrid,Rafael Borré,19,Colombia,Centre-Forward,CF,9000000.0,Deportivo Cali,Colombia,5000000.0,in,summer,Laliga,2015,False,
Atlético de Madrid,Arda Turan,28,Turkey,Left Winger,LW,,Barcelona,Spain,34000000.0,out,summer,Laliga,2015,False,
Atlético de Madrid,Raúl Jiménez,24,Mexico,Centre-Forward,CF,6000000.0,Benfica,Portugal,22000000.0,out,summer,Laliga,2015,False,
Atlético de Madrid,Mario Mandzukic,29,Croatia,Centre-Forward,CF,,Juventus,Italy,19000000.0,out,summer,Laliga,2015,False,
Atlético de Madrid,Toby Alderweireld,26,Belgium,Centre-Back,CB,3500000.0,Tottenham,England,16000000.0,out,summer,Laliga,2015,False,
Atlético de Madrid,Raúl García,29,Spain,Centre-Forward,CF,2500000.0,Athletic,Spain,10000000.0,out,summer,Laliga,2015,False,
Atlético de Madrid,Mario Suárez,28,Spain,Centre-Back,CB,,Fiorentina,Italy,5000000.0,out,summer,Laliga,2015,False,
Atlético de Madrid,Cristian Rodríguez,29,Uruguay,Left Midfield,LM,,Independiente,Argentina,0.0,out,summer,Laliga,2015,False,
Atlético de Madrid,Emiliano Insúa,26,Argentina,Centre-Back,CB,,VfB Stuttgart,Germany,0.0,out,summer,Laliga,2015,False,
Atlético de Madrid,Rubén Pérez,26,Spain,Defensive Midfield,DM,,Granada CF,Spain,,out,summer,Laliga,2015,False,
Atlético de Madrid,Augusto Fernández,29,Argentina,Central Midfield,CM,,Celta de Vigo,Spain,4000000.0,in,winter,Laliga,2015,False,
Atlético de Madrid,Jackson Martínez,29,Colombia,Centre-Forward,CF,,GZ Evergrande,China,42000000.0,out,winter,Laliga,2015,False,
Celta de Vigo,Iago Aspas,27,Spain,Centre-Forward,CF,5000000.0,Sevilla FC,Spain,5300000.0,in,summer,Laliga,2015,False,
Celta de Vigo,Daniel Wass,26,Denmark,Central Midfield,CM,1500000.0,Évian,France,3000000.0,in,summer,Laliga,2015,False,
Celta de Vigo,Dejan Drazic,19,Serbia,Left Winger,LW,,OFK Beograd,Serbia,1200000.0,in,summer,Laliga,2015,False,
Celta de Vigo,John Guidetti,23,Sweden,Centre-Forward,CF,,Man City,England,0.0,in,summer,Laliga,2015,False,
Celta de Vigo,Santi Mina,19,Spain,Centre-Forward,CF,2000000.0,Valencia,Spain,10000000.0,out,summer,Laliga,2015,False,
Celta de Vigo,Yoel Rodríguez,26,Spain,Goalkeeper,GK,,Valencia,Spain,2000000.0,out,summer,Laliga,2015,False,
Celta de Vigo,Joaquín Larrivey,30,Argentina,Centre-Forward,CF,,FC Baniyas,United Arab Emirates,2000000.0,out,summer,Laliga,2015,False,
Celta de Vigo,Charles,31,Brazil,Centre-Forward,CF,,Málaga CF,Spain,,out,summer,Laliga,2015,False,
Celta de Vigo,Michael Krohn-Dehli,32,Denmark,Central Midfield,CM,,Sevilla FC,Spain,0.0,out,summer,Laliga,2015,False,
Celta de Vigo,Samuel Llorca,30,Spain,Centre-Back,CB,,Real Valladolid,Spain,0.0,out,summer,Laliga,2015,False,
Celta de Vigo,Borja Oubiña,33,Spain,Defensive Midfield,DM,,,,,out,summer,Laliga,2015,False,
Celta de Vigo,Claudio Beauvue,27,Guadeloupe,Centre-Forward,CF,,Olympique Lyon,France,5000000.0,in,winter,Laliga,2015,False,
Celta de Vigo,Marcelo Díaz,29,Chile,Defensive Midfield,DM,,Hamburger SV,Germany,1800000.0,in,winter,Laliga,2015,False,
Celta de Vigo,Augusto Fernández,29,Argentina,Central Midfield,CM,,Atlético Madrid,Spain,4000000.0,out,winter,Laliga,2015,False,
Deportivo de La Coruña,Sidnei,25,Brazil,Centre-Back,CB,,Benfica,Portugal,6500000.0,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Lucas Pérez,26,Spain,Centre-Forward,CF,,PAOK Salonika,Greece,1500000.0,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Jonás Gutiérrez,32,Argentina,Left Midfield,LM,,Newcastle,England,0.0,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Fernando Navarro,33,Spain,Left-Back,LB,,Sevilla FC,Spain,0.0,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Alejandro Arribas,26,Spain,Centre-Back,CB,,Sevilla FC,Spain,0.0,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Cani,33,Spain,Attacking Midfield,AM,,Villarreal,Spain,0.0,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Pedro Mosquera,27,Spain,Central Midfield,CM,,Elche CF,Spain,0.0,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Manu Fernández,29,Spain,Goalkeeper,GK,,Alavés,Spain,0.0,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Celso Borges,27,Costa Rica,Central Midfield,CM,,AIK,Sweden,,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Oriol Riera,28,Spain,Centre-Forward,CF,,Wigan,England,,in,summer,Laliga,2015,False,
Deportivo de La Coruña,Isaac Cuenca,24,Spain,Left Winger,LW,,Bursaspor,Turkey,0.0,out,summer,Laliga,2015,False,
Deportivo de La Coruña,Hélder Postiga,32,Portugal,Centre-Forward,CF,,Atl. Kolkata,India,0.0,out,summer,Laliga,2015,False,
