club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Aalborg BK,Thomas Enevoldsen,27,Denmark,Second Striker,SS,,KV Mechelen,Belgium,0.0,in,summer,Superliga,2015,False,
Aalborg BK,Nicklas Helenius,24,Denmark,Centre-Forward,CF,,Aston Villa,England,0.0,in,summer,Superliga,2015,False,
Aalborg BK,Jukka Raitala,26,Finland,Left-Back,LB,,Vestsjaelland,Denmark,0.0,in,summer,Superliga,2015,False,
Aalborg BK,Christian Bassogog,19,Cameroon,Right Winger,RW,3000000.0,Wilmington,United States,0.0,in,summer,Superliga,2015,False,
Aalborg BK,Steven Irwin,24,England,Defensive Midfield,DM,,Unknown,,0.0,in,summer,Superliga,2015,False,
Aalborg BK,Rasmus Thelander,23,Denmark,Centre-Back,CB,,Panathinaikos,Greece,,out,summer,Superliga,2015,False,
Aalborg BK,Anders Jacobsen,25,Denmark,Centre-Forward,CF,,Odense BK,Denmark,,out,summer,Superliga,2015,False,
Aalborg BK,Thomas Augustinussen,35,Denmark,Defensive Midfield,DM,,,,,out,summer,Superliga,2015,False,
Aalborg BK,Jukka Raitala,27,Finland,Left-Back,LB,,Sogndal,Norway,0.0,out,winter,Superliga,2015,False,
Aalborg BK,Henrik Dalsgaard,26,Denmark,Right-Back,RB,,Zulte Waregem,Belgium,0.0,out,winter,Superliga,2015,False,
Aalborg BK,Andreas Blomqvist,23,Sweden,Central Midfield,CM,,Norrköping,Sweden,,out,winter,Superliga,2015,False,
Aarhus GF,Dino Mikanovic,21,Croatia,Right-Back,RB,1000000.0,Hajduk Split,Croatia,,in,summer,Superliga,2015,False,
Aarhus GF,Daniel Pedersen,22,Denmark,Defensive Midfield,DM,,Silkeborg IF,Denmark,0.0,in,summer,Superliga,2015,False,
Aarhus GF,Elmar Bjarnason,28,Iceland,Central Midfield,CM,,Randers FC,Denmark,0.0,in,summer,Superliga,2015,False,
Aarhus GF,Adrián López,28,Spain,Centre-Back,CB,,Montreal,United States,0.0,in,summer,Superliga,2015,False,
Aarhus GF,Ahmed Yasin,24,Iraq,Right Winger,RW,,Örebro SK,Sweden,,in,summer,Superliga,2015,False,
Aarhus GF,Dzhamaldin Khodzhaniyazov,19,Russia,Centre-Back,CB,,Zenit S-Pb,Russia,,in,summer,Superliga,2015,False,
Aarhus GF,Darnel Situ,23,France,Centre-Back,CB,,Hødd,Norway,0.0,out,summer,Superliga,2015,False,
Aarhus GF,Kasper Povlsen,25,Denmark,Defensive Midfield,DM,,Hobro IK,Denmark,0.0,out,summer,Superliga,2015,False,
Aarhus GF,Marcus Solberg,20,Denmark,Centre-Forward,CF,,Silkeborg IF,Denmark,0.0,out,summer,Superliga,2015,False,
Aarhus GF,Jeppe Kjaer,29,Denmark,Centre-Forward,CF,,Lyngby BK,Denmark,0.0,out,summer,Superliga,2015,False,
Aarhus GF,Arthur Sorin,29,France,Centre-Back,CB,,AS Vitré,France,0.0,out,summer,Superliga,2015,False,
Aarhus GF,Johan Björdal,29,Norway,Centre-Back,CB,,Rosenborg,Norway,,out,summer,Superliga,2015,False,
Aarhus GF,Davit Devdariani,27,Georgia,Second Striker,SS,,Without Club,,,out,summer,Superliga,2015,False,
Aarhus GF,Helgi Danielsson,33,Iceland,Defensive Midfield,DM,,,,,out,summer,Superliga,2015,False,
Aarhus GF,Nicolai Johannesen,21,Denmark,Left-Back,LB,,Without Club,,,out,summer,Superliga,2015,False,
Aarhus GF,Morten ‘Duncan’ Rasmussen,30,Denmark,Centre-Forward,CF,,FC Midtjylland,Denmark,,in,winter,Superliga,2015,False,
Aarhus GF,Niklas Backman,27,Sweden,Centre-Back,CB,,DL Yifang,China,0.0,in,winter,Superliga,2015,False,
Aarhus GF,Jens Stage,19,Denmark,Central Midfield,CM,5000000.0,Brabrand IF,Denmark,,in,winter,Superliga,2015,False,
Aarhus GF,Davit Skhirtladze,22,Georgia,Second Striker,SS,,Silkeborg IF,Denmark,0.0,out,winter,Superliga,2015,False,
Aarhus GF,Morten Nordstrand,32,Denmark,Centre-Forward,CF,,Newcastle Jets,Australia,0.0,out,winter,Superliga,2015,False,
Aarhus GF,Ahmed Yasin,24,Iraq,Right Winger,RW,,AIK,Sweden,,out,winter,Superliga,2015,False,
Bröndby IF,Magnus Eriksson,25,Sweden,Central Midfield,CM,,BJ Renhe,China,,in,summer,Superliga,2015,False,
Bröndby IF,Teemu Pukki,25,Finland,Centre-Forward,CF,1500000.0,Celtic,Scotland,,in,summer,Superliga,2015,False,
Bröndby IF,Frederik Rönnow,22,Denmark,Goalkeeper,GK,5500000.0,AC Horsens,Denmark,,in,summer,Superliga,2015,False,
Bröndby IF,Mads Toppel,33,Denmark,Goalkeeper,GK,,Odense BK,Denmark,0.0,in,summer,Superliga,2015,False,
Bröndby IF,Jonas Borring,31,Denmark,Left Midfield,LM,,Without Club,,0.0,in,summer,Superliga,2015,False,
Bröndby IF,Christian Jakobsen,22,Denmark,Attacking Midfield,AM,,FC Roskilde,Denmark,,in,summer,Superliga,2015,False,
Bröndby IF,Jesper Juelsgaard,26,Denmark,Centre-Back,CB,,Évian,France,,in,summer,Superliga,2015,False,
Bröndby IF,Rodolph Austin,30,Jamaica,Centre-Back,CB,,Without Club,,,in,summer,Superliga,2015,False,
Bröndby IF,Lukas Hradecky,25,Finland,Goalkeeper,GK,2500000.0,E. Frankfurt,Germany,2500000.0,out,summer,Superliga,2015,False,
Bröndby IF,Nikolai Laursen,17,Denmark,Right Winger,RW,,PSV U21,Netherlands,1300000.0,out,summer,Superliga,2015,False,
Bröndby IF,Ferhan Hasani,25,North Macedonia,Attacking Midfield,AM,,Shkendija,North Macedonia,0.0,out,summer,Superliga,2015,False,
Bröndby IF,Kristian Andersen,20,Denmark,Left Midfield,LM,,HB Köge,Denmark,0.0,out,summer,Superliga,2015,False,
Bröndby IF,Michael Falkesgaard,24,Philippines,Goalkeeper,GK,,Odense BK,Denmark,0.0,out,summer,Superliga,2015,False,
Bröndby IF,Mads Nielsen,21,Denmark,Centre-Back,CB,,Nest-Sotra IL,Norway,0.0,out,summer,Superliga,2015,False,
Bröndby IF,Alexander Szymanowski,26,Argentina,Left Winger,LW,,CD Leganés,Spain,0.0,out,summer,Superliga,2015,False,
Bröndby IF,Kristian Larsen,19,Denmark,Left-Back,LB,,Without Club,,,out,summer,Superliga,2015,False,
Bröndby IF,Kamil Wilczek,28,Poland,Centre-Forward,CF,,Carpi,Italy,,in,winter,Superliga,2015,False,
