club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
GNK Dinamo Zagreb,Marko Rog,19,Croatia,Central Midfield,CM,1700000.0,RNK Split,Croatia,5000000.0,in,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Ángelo Henríquez,21,Chile,Centre-Forward,CF,,Man Utd,England,1670000.0,in,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Dominik Livakovic,20,Croatia,Goalkeeper,GK,12000000.0,NK Zagreb,Croatia,,in,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Gordon Schildenfeld,30,Croatia,Centre-Back,CB,,Dinamo Moscow,Russia,0.0,in,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Borna Barisic,22,Croatia,Left-Back,LB,6500000.0,NK Osijek,Croatia,,in,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Jozo Simunovic,21,Croatia,Centre-Back,CB,,Celtic,Scotland,7500000.0,out,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Duje Cop,25,Croatia,Centre-Forward,CF,,Cagliari Calcio,Italy,2500000.0,out,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Herdi Prenga,20,Albania,Centre-Back,CB,,NK Lokomotiva,Croatia,0.0,out,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Dino Spehar,21,Croatia,Centre-Forward,CF,,RNK Split,Croatia,0.0,out,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Lee Addy,25,Ghana,Centre-Back,CB,,FK Cukaricki,Serbia,0.0,out,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Josip Coric,26,Bosnia-Herzegovina,Central Midfield,CM,,NK Lokomotiva,Croatia,,out,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Petar Misic,20,Croatia,Right Winger,RW,,NK Lokomotiva,Croatia,,out,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Dino Peric,21,Croatia,Centre-Back,CB,4500000.0,NK Lokomotiva,Croatia,,out,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Marko Kolar,20,Croatia,Centre-Forward,CF,,NK Lokomotiva,Croatia,,out,summer,Supersport Hnl,2015,False,
GNK Dinamo Zagreb,Jerko Leko,35,Croatia,Defensive Midfield,DM,,NK Lokomotiva,Croatia,,out,summer,Supersport Hnl,2015,False,
