club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
1.FC Köln,Serhou Guirassy,20.0,Guinea,Centre-Forward,CF,40000000.0,LOSC Lille,France,3800000.0,in,summer,1 Bundesliga,2016,False,
1.FC Köln,Marco Höger,26.0,Germany,Defensive Midfield,DM,,FC Schalke 04,Germany,1300000.0,in,summer,1 Bundesliga,2016,False,
1.FC Köln,Christian Clemens,25.0,Germany,Right Winger,RW,,1.FSV Mainz 05,Germany,2750000.0,in,winter,1 Bundesliga,2016,False,
1.FSV Mainz 05,Jhon Córdoba,23.0,Colombia,Centre-Forward,CF,12000000.0,Granada CF,Spain,6500000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Jean-Philippe Gbamin,20.0,Cote d'Ivoire,Defensive Midfield,DM,4000000.0,Lens,France,5000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Levin Öztunali,20.0,Germany,Left Winger,LW,1200000.0,B. Leverkusen,Germany,5000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Gerrit Holtmann,21.0,Philippines,Left Winger,LW,2300000.0,E. Braunschweig,Germany,3000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Jonas Lössl,27.0,Denmark,Goalkeeper,GK,,Guingamp,France,2500000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,José Rodríguez,21.0,Spain,Central Midfield,CM,,Galatasaray,Turkey,2150000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Christian Clemens,24.0,Germany,Right Winger,RW,,FC Schalke 04,Germany,2000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Robin Quaison,23.0,Sweden,Centre-Forward,CF,4500000.0,US Palermo,Italy,2500000.0,in,winter,1 Bundesliga,2016,False,
Bayer 04 Leverkusen,Aleksandar Dragovic,25.0,Austria,Centre-Back,CB,4500000.0,Dynamo Kyiv,Ukraine,21000000.0,in,summer,1 Bundesliga,2016,False,
Bayer 04 Leverkusen,Kevin Volland,23.0,Germany,Centre-Forward,CF,6000000.0,TSG Hoffenheim,Germany,20000000.0,in,summer,1 Bundesliga,2016,False,
Bayer 04 Leverkusen,Julian Baumgartlinger,28.0,Austria,Defensive Midfield,DM,,1.FSV Mainz 05,Germany,4000000.0,in,summer,1 Bundesliga,2016,False,
Bayer 04 Leverkusen,Leon Bailey,19.0,Jamaica,Left Winger,LW,28000000.0,KRC Genk,Belgium,16700000.0,in,winter,1 Bundesliga,2016,False,
Bayern Munich,Renato Sanches,18.0,Portugal,Central Midfield,CM,14000000.0,Benfica,Portugal,35000000.0,in,summer,1 Bundesliga,2016,False,
Bayern Munich,Mats Hummels,27.0,Germany,Centre-Back,CB,6000000.0,Bor. Dortmund,Germany,35000000.0,in,summer,1 Bundesliga,2016,False,
Borussia Dortmund,Ousmane Dembélé,19.0,France,Right Winger,RW,60000000.0,Stade Rennais,France,35000000.0,in,summer,1 Bundesliga,2016,False,
Borussia Dortmund,André Schürrle,25.0,Germany,Left Winger,LW,,VfL Wolfsburg,Germany,30000000.0,in,summer,1 Bundesliga,2016,False,
Borussia Dortmund,Mario Götze,24.0,Germany,Attacking Midfield,AM,9000000.0,Bayern Munich,Germany,22000000.0,in,summer,1 Bundesliga,2016,False,
Borussia Dortmund,Sebastian Rode,25.0,Germany,Central Midfield,CM,2000000.0,Bayern Munich,Germany,12000000.0,in,summer,1 Bundesliga,2016,False,
Borussia Dortmund,Raphaël Guerreiro,22.0,Portugal,Left-Back,LB,15000000.0,FC Lorient,France,12000000.0,in,summer,1 Bundesliga,2016,False,
Borussia Dortmund,Emre Mor,18.0,Turkey,Right Winger,RW,3300000.0,Nordsjaelland,Denmark,9750000.0,in,summer,1 Bundesliga,2016,False,
Borussia Dortmund,Marc Bartra,25.0,Spain,Centre-Back,CB,3000000.0,Barcelona,Spain,8000000.0,in,summer,1 Bundesliga,2016,False,
Borussia Dortmund,Mikel Merino,20.0,Spain,Central Midfield,CM,50000000.0,CA Osasuna,Spain,3750000.0,in,summer,1 Bundesliga,2016,False,
Borussia Dortmund,Alexander Isak,17.0,Sweden,Centre-Forward,CF,70000000.0,AIK,Sweden,8600000.0,in,winter,1 Bundesliga,2016,False,
Borussia Mönchengladbach,Christoph Kramer,25.0,Germany,Defensive Midfield,DM,2500000.0,B. Leverkusen,Germany,15000000.0,in,summer,1 Bundesliga,2016,False,
Borussia Mönchengladbach,Jannik Vestergaard,23.0,Denmark,Centre-Back,CB,4000000.0,Werder Bremen,Germany,12500000.0,in,summer,1 Bundesliga,2016,False,
Borussia Mönchengladbach,László Bénes,18.0,Slovakia,Central Midfield,CM,3500000.0,MSK Zilina,Slovakia,5000000.0,in,summer,1 Bundesliga,2016,False,
Borussia Mönchengladbach,Timothée Kolodziejczak,25.0,France,Centre-Back,CB,,Sevilla FC,Spain,7500000.0,in,winter,1 Bundesliga,2016,False,
Borussia Mönchengladbach,Julio Villalba,18.0,Paraguay,Centre-Forward,CF,,Cerro Porteño,Paraguay,1250000.0,in,winter,1 Bundesliga,2016,False,
Eintracht Frankfurt,Taleb Tawatha,24.0,Israel,Left-Back,LB,,Maccabi Haifa,Israel,1200000.0,in,summer,1 Bundesliga,2016,False,
Eintracht Frankfurt,Omar Mascarell,23.0,Spain,Defensive Midfield,DM,1000000.0,Real Madrid,Spain,1000000.0,in,summer,1 Bundesliga,2016,False,
Eintracht Frankfurt,Andersson Ordóñez,22.0,Ecuador,Centre-Back,CB,,Barcelona SC,Ecuador,1000000.0,in,winter,1 Bundesliga,2016,False,
FC Augsburg,Martin Hinteregger,23.0,Austria,Centre-Back,CB,,RB Salzburg,Austria,10500000.0,in,summer,1 Bundesliga,2016,False,
FC Augsburg,Jonathan Schmid,26.0,France,Right Midfield,RM,,TSG Hoffenheim,Germany,5200000.0,in,summer,1 Bundesliga,2016,False,
FC Augsburg,Alfred Finnbogason,27.0,Iceland,Centre-Forward,CF,,Real Sociedad,Spain,4000000.0,in,summer,1 Bundesliga,2016,False,
FC Augsburg,Takashi Usami,24.0,Japan,Centre-Forward,CF,,Gamba Osaka,Japan,1500000.0,in,summer,1 Bundesliga,2016,False,
FC Augsburg,Marvin Friedrich,20.0,Germany,Centre-Back,CB,4000000.0,FC Schalke 04,Germany,1000000.0,in,summer,1 Bundesliga,2016,False,
FC Augsburg,Moritz Leitner,24.0,Germany,Central Midfield,CM,,Lazio,Italy,1500000.0,in,winter,1 Bundesliga,2016,False,
FC Ingolstadt 04,Marcel Tisserand,23.0,DR Congo,Centre-Back,CB,2800000.0,Monaco,France,3500000.0,in,summer,1 Bundesliga,2016,False,
FC Ingolstadt 04,Florent Hadergjonaj,22.0,Kosovo,Right-Back,RB,2800000.0,BSC Young Boys,Switzerland,2000000.0,in,summer,1 Bundesliga,2016,False,
FC Ingolstadt 04,Robert Leipertz,23.0,Germany,Right Winger,RW,,FC Schalke 04,Germany,1500000.0,in,summer,1 Bundesliga,2016,False,
FC Schalke 04,Breel Embolo,19.0,Switzerland,Centre-Forward,CF,15000000.0,FC Basel,Switzerland,26500000.0,in,summer,1 Bundesliga,2016,False,
FC Schalke 04,Benjamin Stambouli,26.0,France,Defensive Midfield,DM,1000000.0,Paris SG,France,8000000.0,in,summer,1 Bundesliga,2016,False,
FC Schalke 04,Coke,29.0,Spain,Right-Back,RB,,Sevilla FC,Spain,4000000.0,in,summer,1 Bundesliga,2016,False,
FC Schalke 04,Daniel Caligiuri,29.0,Italy,Right Winger,RW,,VfL Wolfsburg,Germany,2500000.0,in,winter,1 Bundesliga,2016,False,
FC Schalke 04,Guido Burgstaller,27.0,Austria,Centre-Forward,CF,1000000.0,1.FC Nuremberg,Germany,1500000.0,in,winter,1 Bundesliga,2016,False,
Hamburger SV,Filip Kostić,23.0,Serbia,Left Midfield,LM,15000000.0,VfB Stuttgart,Germany,14000000.0,in,summer,1 Bundesliga,2016,False,
Hamburger SV,Douglas Santos,22.0,Brazil,Left-Back,LB,18000000.0,Atlético-MG,Brazil,6500000.0,in,summer,1 Bundesliga,2016,False,
Hamburger SV,Alen Halilovic,20.0,Croatia,Attacking Midfield,AM,1000000.0,Barcelona,Spain,5000000.0,in,summer,1 Bundesliga,2016,False,
Hamburger SV,Bobby Wood,23.0,United States,Centre-Forward,CF,,Union Berlin,Germany,4000000.0,in,summer,1 Bundesliga,2016,False,
Hamburger SV,Luca Waldschmidt,20.0,Germany,Centre-Forward,CF,3000000.0,E. Frankfurt,Germany,1300000.0,in,summer,1 Bundesliga,2016,False,
Hamburger SV,Walace,21.0,Brazil,Defensive Midfield,DM,7000000.0,Grêmio,Brazil,9200000.0,in,winter,1 Bundesliga,2016,False,
Hamburger SV,Mergim Mavraj,30.0,Albania,Centre-Back,CB,,1.FC Köln,Germany,1800000.0,in,winter,1 Bundesliga,2016,False,
Hertha BSC,Ondrej Duda,21.0,Slovakia,Attacking Midfield,AM,4000000.0,Legia Warszawa,Poland,4200000.0,in,summer,1 Bundesliga,2016,False,
Hertha BSC,Alexander Esswein,26.0,Germany,Left Winger,LW,,FC Augsburg,Germany,2500000.0,in,summer,1 Bundesliga,2016,False,
RB Leipzig,Naby Keïta,21.0,Guinea,Central Midfield,CM,9000000.0,RB Salzburg,Austria,29750000.0,in,summer,1 Bundesliga,2016,False,
RB Leipzig,Timo Werner,20.0,Germany,Centre-Forward,CF,20000000.0,VfB Stuttgart,Germany,23000000.0,in,summer,1 Bundesliga,2016,False,
RB Leipzig,Oliver Burke,19.0,Scotland,Centre-Forward,CF,2200000.0,Nottm Forest,England,15200000.0,in,summer,1 Bundesliga,2016,False,
RB Leipzig,Bernardo,21.0,Brazil,Centre-Back,CB,3000000.0,RB Salzburg,Austria,6000000.0,in,summer,1 Bundesliga,2016,False,
RB Leipzig,Marius Müller,22.0,Germany,Goalkeeper,GK,1000000.0,1.FC K'lautern,Germany,1700000.0,in,summer,1 Bundesliga,2016,False,
RB Leipzig,Dayot Upamecano,18.0,France,Centre-Back,CB,60000000.0,RB Salzburg,Austria,18500000.0,in,winter,1 Bundesliga,2016,False,
SC Freiburg,Çağlar Söyüncü,20.0,Turkey,Centre-Back,CB,15000000.0,Altinordu,Turkey,7930000.0,in,summer,1 Bundesliga,2016,False,
SC Freiburg,Janik Haberer,22.0,Germany,Central Midfield,CM,7000000.0,TSG Hoffenheim,Germany,2000000.0,in,summer,1 Bundesliga,2016,False,
SC Freiburg,Onur Bulut,22.0,Turkey,Right-Back,RB,3800000.0,VfL Bochum,Germany,1200000.0,in,summer,1 Bundesliga,2016,False,
SC Freiburg,Jonas Meffert,21.0,Germany,Defensive Midfield,DM,1500000.0,B. Leverkusen,Germany,1200000.0,in,summer,1 Bundesliga,2016,False,
SC Freiburg,Manuel Gulde,25.0,Germany,Centre-Back,CB,1500000.0,Karlsruher SC,Germany,1200000.0,in,summer,1 Bundesliga,2016,False,
SC Freiburg,Rafal Gikiewicz,28.0,Poland,Goalkeeper,GK,,E. Braunschweig,Germany,1000000.0,in,summer,1 Bundesliga,2016,False,
SC Freiburg,Vincent Sierro,21.0,Switzerland,Central Midfield,CM,2000000.0,FC Sion,Switzerland,1500000.0,in,winter,1 Bundesliga,2016,False,
SV Darmstadt 98,Roman Bezjak,27.0,Slovenia,Centre-Forward,CF,,HNK Rijeka,Croatia,2000000.0,in,summer,1 Bundesliga,2016,False,
SV Werder Bremen,Max Kruse,28.0,Germany,Second Striker,SS,,VfL Wolfsburg,Germany,7500000.0,in,summer,1 Bundesliga,2016,False,
SV Werder Bremen,Serge Gnabry,21.0,Germany,Right Winger,RW,55000000.0,Arsenal,England,5000000.0,in,summer,1 Bundesliga,2016,False,
SV Werder Bremen,Florian Kainz,23.0,Austria,Left Winger,LW,5000000.0,Rapid Vienna,Austria,3500000.0,in,summer,1 Bundesliga,2016,False,
SV Werder Bremen,Robert Bauer,21.0,Germany,Centre-Back,CB,,FC Ingolstadt,Germany,2500000.0,in,summer,1 Bundesliga,2016,False,
SV Werder Bremen,Niklas Moisander,30.0,Finland,Centre-Back,CB,,Sampdoria,Italy,1700000.0,in,summer,1 Bundesliga,2016,False,
SV Werder Bremen,Fallou Diagne,26.0,Senegal,Centre-Back,CB,,Stade Rennais,France,1500000.0,in,summer,1 Bundesliga,2016,False,
SV Werder Bremen,Thomas Delaney,25.0,Denmark,Central Midfield,CM,2000000.0,FC Copenhagen,Denmark,2000000.0,in,winter,1 Bundesliga,2016,False,
TSG 1899 Hoffenheim,Andrej Kramaric,25.0,Croatia,Centre-Forward,CF,8000000.0,Leicester,England,11000000.0,in,summer,1 Bundesliga,2016,False,
TSG 1899 Hoffenheim,Lukas Rupp,25.0,Germany,Central Midfield,CM,,VfB Stuttgart,Germany,5000000.0,in,summer,1 Bundesliga,2016,False,
TSG 1899 Hoffenheim,Kerem Demirbay,23.0,Germany,Central Midfield,CM,6000000.0,Hamburger SV,Germany,4700000.0,in,summer,1 Bundesliga,2016,False,
TSG 1899 Hoffenheim,Kevin Vogt,24.0,Germany,Centre-Back,CB,2500000.0,1.FC Köln,Germany,3000000.0,in,summer,1 Bundesliga,2016,False,
TSG 1899 Hoffenheim,Sandro Wagner,28.0,Germany,Centre-Forward,CF,,Darmstadt 98,Germany,2800000.0,in,summer,1 Bundesliga,2016,False,
VfL Wolfsburg,Yannick Gerhardt,22.0,Germany,Central Midfield,CM,6000000.0,1.FC Köln,Germany,13000000.0,in,summer,1 Bundesliga,2016,False,
VfL Wolfsburg,Jeffrey Bruma,24.0,Netherlands,Centre-Back,CB,,PSV Eindhoven,Netherlands,11500000.0,in,summer,1 Bundesliga,2016,False,
VfL Wolfsburg,Josip Brekalo,18.0,Croatia,Left Winger,LW,5000000.0,Dinamo Zagreb,Croatia,10000000.0,in,summer,1 Bundesliga,2016,False,
VfL Wolfsburg,Jakub Blaszczykowski,30.0,Poland,Right Winger,RW,,Bor. Dortmund,Germany,5000000.0,in,summer,1 Bundesliga,2016,False,
VfL Wolfsburg,Josuha Guilavogui,25.0,France,Defensive Midfield,DM,2000000.0,Atlético Madrid,Spain,3000000.0,in,summer,1 Bundesliga,2016,False,
VfL Wolfsburg,Mario Gómez,31.0,Germany,Centre-Forward,CF,,Fiorentina,Italy,1050000.0,in,summer,1 Bundesliga,2016,False,
VfL Wolfsburg,Yunus Mallı,24.0,Turkey,Attacking Midfield,AM,,1.FSV Mainz 05,Germany,12500000.0,in,winter,1 Bundesliga,2016,False,
