club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
1.FC Köln,Serhou Guirassy,20,Guinea,Centre-Forward,CF,40000000.0,LOSC Lille,France,3800000.0,in,summer,1 Bundesliga,2016,False,
1.FC Köln,Marco Höger,26,Germany,Defensive Midfield,DM,,FC Schalke 04,Germany,1300000.0,in,summer,1 Bundesliga,2016,False,
1.FC Köln,Artjoms Rudnevs,28,Latvia,Centre-Forward,CF,,Hamburger SV,Germany,0.0,in,summer,1 Bundesliga,2016,False,
1.FC Köln,Konstantin Rausch,26,Russia,Left-Back,LB,,Darmstadt 98,Germany,0.0,in,summer,1 Bundesliga,2016,False,
1.FC Köln,Yannick Gerhardt,22,Germany,Central Midfield,CM,6000000.0,VfL Wolfsburg,Germany,13000000.0,out,summer,1 Bundesliga,2016,False,
1.FC Köln,Kevin Vogt,24,Germany,Centre-Back,CB,2500000.0,TSG Hoffenheim,Germany,3000000.0,out,summer,1 Bundesliga,2016,False,
1.FC Köln,Daniel Mesenhöler,20,Germany,Goalkeeper,GK,,Union Berlin,Germany,0.0,out,summer,1 Bundesliga,2016,False,
1.FC Köln,Dusan Svento,30,Slovakia,Left-Back,LB,,Slavia Prague,Czech Republic,0.0,out,summer,1 Bundesliga,2016,False,
1.FC Köln,Bruno Nascimento,25,Brazil,Centre-Back,CB,,Omonia Nikosia,Cyprus,0.0,out,summer,1 Bundesliga,2016,False,
1.FC Köln,Christian Clemens,25,Germany,Right Winger,RW,,1.FSV Mainz 05,Germany,2750000.0,in,winter,1 Bundesliga,2016,False,
1.FC Köln,Mergim Mavraj,30,Albania,Centre-Back,CB,,Hamburger SV,Germany,1800000.0,out,winter,1 Bundesliga,2016,False,
1.FC Köln,Filip Mladenovic,25,Serbia,Left-Back,LB,,Standard Liège,Belgium,1200000.0,out,winter,1 Bundesliga,2016,False,
1.FSV Mainz 05,Jhon Córdoba,23,Colombia,Centre-Forward,CF,12000000.0,Granada CF,Spain,6500000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Jean-Philippe Gbamin,20,Cote d'Ivoire,Defensive Midfield,DM,4000000.0,Lens,France,5000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Levin Öztunali,20,Germany,Left Winger,LW,1200000.0,B. Leverkusen,Germany,5000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Gerrit Holtmann,21,Philippines,Left Winger,LW,2300000.0,E. Braunschweig,Germany,3000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Jonas Lössl,27,Denmark,Goalkeeper,GK,,Guingamp,France,2500000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,José Rodríguez,21,Spain,Central Midfield,CM,,Galatasaray,Turkey,2150000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Christian Clemens,24,Germany,Right Winger,RW,,FC Schalke 04,Germany,2000000.0,in,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Loris Karius,23,Germany,Goalkeeper,GK,1200000.0,Liverpool,England,6200000.0,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Julian Baumgartlinger,28,Austria,Defensive Midfield,DM,,B. Leverkusen,Germany,4000000.0,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Christoph Moritz,26,Germany,Central Midfield,CM,,1.FC K'lautern,Germany,,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Elkin Soto,35,Colombia,Central Midfield,CM,,Once Caldas,Colombia,0.0,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Dani Schahin,26,Germany,Centre-Forward,CF,,Roda JC,Netherlands,0.0,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Henrique Sereno,31,Portugal,Centre-Back,CB,,Without Club,,,out,summer,1 Bundesliga,2016,False,
1.FSV Mainz 05,Robin Quaison,23,Sweden,Centre-Forward,CF,4500000.0,US Palermo,Italy,2500000.0,in,winter,1 Bundesliga,2016,False,
1.FSV Mainz 05,Marin Sverko,18,Croatia,Centre-Back,CB,,Karlsruhe U19,Germany,,in,winter,1 Bundesliga,2016,False,
