club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Austria Vienna,Christoph Martschinko,22,Austria,Left-Back,LB,,TSG Hoffenheim,Germany,,in,summer,Bundesliga,2016,False,
Austria Vienna,Petar Filipovic,25,Germany,Centre-Back,CB,,SV Ried,Austria,,in,summer,Bundesliga,2016,False,
Austria Vienna,Mohammed Kadiri,20,Ghana,Defensive Midfield,DM,,Ashanti Gold,Ghana,,in,summer,Bundesliga,2016,False,
Austria Vienna,Roi Kehat,24,Israel,Central Midfield,CM,,Maccabi Haifa,Israel,1000000.0,out,summer,Bundesliga,2016,False,
Austria Vienna,Marco Meilinger,24,Austria,Left Midfield,LM,,Aalborg BK,Denmark,0.0,out,summer,Bundesliga,2016,False,
Austria Vienna,Vance Sikov,30,North Macedonia,Centre-Back,CB,,Neftchi Baku,Azerbaijan,0.0,out,summer,Bundesliga,2016,False,
Austria Vienna,Fabian Koch,27,Austria,Right-Back,RB,,Sturm Graz,Austria,0.0,out,summer,Bundesliga,2016,False,
Austria Vienna,Alexander Gorgon,27,Austria,Attacking Midfield,AM,,HNK Rijeka,Croatia,0.0,out,summer,Bundesliga,2016,False,
Austria Vienna,Marco Stark,23,Austria,Centre-Back,CB,,A. Lustenau,Austria,0.0,out,summer,Bundesliga,2016,False,
Austria Vienna,Marios Pechlivanis,21,Cyprus,Left Winger,LW,,Olympiakos N.,Cyprus,0.0,out,summer,Bundesliga,2016,False,
Austria Vienna,Bernhard Luxbacher,21,Austria,Central Midfield,CM,,Without Club,,,out,summer,Bundesliga,2016,False,
Austria Vienna,Marko Pejic,21,Croatia,Left-Back,LB,,Hajduk Split,Croatia,,in,winter,Bundesliga,2016,False,
Austria Vienna,Richard Windbichler,25,Austria,Centre-Back,CB,,Ulsan Hyundai,"Korea, South",,out,winter,Bundesliga,2016,False,
FC Admira Wacker Mödling,Fabio Strauss,21,Austria,Centre-Back,CB,,Grödig,Austria,0.0,in,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Dominik Starkl,22,Austria,Right Winger,RW,,Rapid Vienna,Austria,,in,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Ione Cabrera,30,Spain,Centre-Back,CB,,LASK,Austria,,in,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Jörg Siebenhandl,26,Austria,Goalkeeper,GK,,Würzb. Kickers,Germany,,out,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Philipp Malicsek,19,Austria,Central Midfield,CM,,Rapid Vienna,Austria,,out,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Christoph Schösswendter,27,Austria,Centre-Back,CB,,Rapid Vienna,Austria,0.0,out,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,René Schicker,31,Austria,Centre-Forward,CF,,SV Stripfing,Austria,0.0,out,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Markus Rusek,22,Austria,Central Midfield,CM,,Wiener Neustadt,Austria,0.0,out,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Peter Zulj,23,Austria,Central Midfield,CM,1000000.0,SV Ried,Austria,0.0,out,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Daniel Gremsl,23,Austria,Right Midfield,RM,,TSV Hartberg,Austria,0.0,out,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Andreas Dlopst,22,Austria,Defensive Midfield,DM,,ATSV Wolfsberg,Austria,0.0,out,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Marvin Egho,22,Austria,Centre-Forward,CF,,SV Ried,Austria,,out,summer,Bundesliga,2016,False,
FC Admira Wacker Mödling,Thomas Weber,23,Austria,Left-Back,LB,,Without Club,,,out,summer,Bundesliga,2016,False,
Rapid Vienna,Arnór Ingvi Traustason,23,Iceland,Central Midfield,CM,1200000.0,Norrköping,Sweden,2300000.0,in,summer,Bundesliga,2016,False,
Rapid Vienna,Ivan Mocinic,23,Croatia,Defensive Midfield,DM,,HNK Rijeka,Croatia,2000000.0,in,summer,Bundesliga,2016,False,
Rapid Vienna,Giorgi Kvilitaia,22,Georgia,Centre-Forward,CF,1800000.0,Dinamo Tbilisi,Georgia,,in,summer,Bundesliga,2016,False,
Rapid Vienna,Philipp Malicsek,19,Austria,Central Midfield,CM,,Admira Wacker,Austria,,in,summer,Bundesliga,2016,False,
Rapid Vienna,Maximilian Entrup,18,Austria,Centre-Forward,CF,,FAC,Austria,,in,summer,Bundesliga,2016,False,
Rapid Vienna,Christoph Schösswendter,27,Austria,Centre-Back,CB,,Admira Wacker,Austria,0.0,in,summer,Bundesliga,2016,False,
Rapid Vienna,Florian Kainz,23,Austria,Left Winger,LW,5000000.0,Werder Bremen,Germany,3500000.0,out,summer,Bundesliga,2016,False,
Rapid Vienna,Stefan Stangl,24,Austria,Left-Back,LB,,RB Salzburg,Austria,1650000.0,out,summer,Bundesliga,2016,False,
Rapid Vienna,Thanos Petsos,25,Greece,Defensive Midfield,DM,,Werder Bremen,Germany,0.0,out,summer,Bundesliga,2016,False,
Rapid Vienna,Deni Alar,26,Austria,Centre-Forward,CF,,Sturm Graz,Austria,0.0,out,summer,Bundesliga,2016,False,
Rapid Vienna,Michael Schimpelsberger,25,Austria,Right-Back,RB,,FC Wacker,Austria,0.0,out,summer,Bundesliga,2016,False,
Rapid Vienna,Philipp Huspek,25,Austria,Right Midfield,RM,,Sturm Graz,Austria,0.0,out,summer,Bundesliga,2016,False,
Rapid Vienna,Stefan Nutz,24,Austria,Attacking Midfield,AM,,SV Ried,Austria,0.0,out,summer,Bundesliga,2016,False,
Rapid Vienna,Dominik Starkl,22,Austria,Right Winger,RW,,Admira Wacker,Austria,,out,summer,Bundesliga,2016,False,
Red Bull Salzburg,Munas Dabbur,24,Israel,Centre-Forward,CF,3000000.0,Grasshoppers,Switzerland,5000000.0,in,summer,Bundesliga,2016,False,
Red Bull Salzburg,Marc Rzatkowski,26,Germany,Central Midfield,CM,,FC St. Pauli,Germany,2000000.0,in,summer,Bundesliga,2016,False,
Red Bull Salzburg,Stefan Stangl,24,Austria,Left-Back,LB,,Rapid Vienna,Austria,1650000.0,in,summer,Bundesliga,2016,False,
Red Bull Salzburg,Fredrik Gulbrandsen,23,Norway,Centre-Forward,CF,1600000.0,Molde FK,Norway,,in,summer,Bundesliga,2016,False,
Red Bull Salzburg,Amadou Haidara,18,Mali,Central Midfield,CM,17000000.0,JMG Bamako,Mali,,in,summer,Bundesliga,2016,False,
Red Bull Salzburg,Samuel Tetteh,19,Ghana,Centre-Forward,CF,,WAFA SC,Ghana,,in,summer,Bundesliga,2016,False,
Red Bull Salzburg,Wanderson,21,Brazil,Left Winger,LW,9000000.0,Getafe,Spain,0.0,in,summer,Bundesliga,2016,False,
Red Bull Salzburg,Josip Radosevic,22,Croatia,Defensive Midfield,DM,1500000.0,SSC Napoli,Italy,0.0,in,summer,Bundesliga,2016,False,
Red Bull Salzburg,Naby Keïta,21,Guinea,Central Midfield,CM,9000000.0,RB Leipzig,Germany,29750000.0,out,summer,Bundesliga,2016,False,
Red Bull Salzburg,Martin Hinteregger,23,Austria,Centre-Back,CB,,FC Augsburg,Germany,10500000.0,out,summer,Bundesliga,2016,False,
Red Bull Salzburg,Bernardo,21,Brazil,Centre-Back,CB,3000000.0,RB Leipzig,Germany,6000000.0,out,summer,Bundesliga,2016,False,
Red Bull Salzburg,Peter Ankersen,25,Denmark,Right-Back,RB,,FC Copenhagen,Denmark,1500000.0,out,summer,Bundesliga,2016,False,
Red Bull Salzburg,Benno Schmitz,21,Germany,Right-Back,RB,3000000.0,RB Leipzig,Germany,,out,summer,Bundesliga,2016,False,
Red Bull Salzburg,Yasin Pehlivan,27,Austria,Defensive Midfield,DM,,Without Club,,,out,summer,Bundesliga,2016,False,
Red Bull Salzburg,Carlos Coronel,20,Paraguay,Goalkeeper,GK,,RB Brasil U20,Brazil,,in,winter,Bundesliga,2016,False,
Red Bull Salzburg,Dayot Upamecano,18,France,Centre-Back,CB,60000000.0,RB Leipzig,Germany,18500000.0,out,winter,Bundesliga,2016,False,
Red Bull Salzburg,Jonathan Soriano,31,Spain,Centre-Forward,CF,,BJ Guoan,China,15000000.0,out,winter,Bundesliga,2016,False,
Red Bull Salzburg,Yordy Reyna,23,Peru,Centre-Forward,CF,,Vancouver,United States,,out,winter,Bundesliga,2016,False,
SCR Altach,Emanuel Sakic,25,Austria,Right-Back,RB,,A. Lustenau,Austria,0.0,in,summer,Bundesliga,2016,False,
SCR Altach,Nikola Zivotic,20,Austria,Centre-Forward,CF,,A. Vienna Res.,Austria,0.0,in,summer,Bundesliga,2016,False,
SCR Altach,Gabriel Lüchinger,23,Switzerland,Central Midfield,CM,,FC Balzers,Switzerland,0.0,in,summer,Bundesliga,2016,False,
SCR Altach,Benjamin Ozegovic,16,Austria,Goalkeeper,GK,,AKA Austria U18,Austria,,in,summer,Bundesliga,2016,False,
SCR Altach,Nicolas Moumi Ngamaleu,22,Cameroon,Left Winger,LW,3500000.0,Coton Sport FC,Cameroon,,in,summer,Bundesliga,2016,False,
SCR Altach,Felix Roth,28,Germany,Attacking Midfield,AM,,SC Freiburg II,Germany,0.0,out,summer,Bundesliga,2016,False,
SCR Altach,Alexander Pöllhuber,31,Austria,Centre-Back,CB,,Bischofshofen,Austria,0.0,out,summer,Bundesliga,2016,False,
SCR Altach,Dominik Hofbauer,25,Austria,Central Midfield,CM,,Arka Gdynia,Poland,0.0,out,summer,Bundesliga,2016,False,
SCR Altach,Martin Schwärzler,21,Austria,Central Midfield,CM,,FC Bizau,Austria,,out,summer,Bundesliga,2016,False,
SCR Altach,Mihret Topcagic,28,Austria,Centre-Forward,CF,,Wolfsberger AC,Austria,,out,summer,Bundesliga,2016,False,
SCR Altach,Sebastian Brandner,33,Austria,Goalkeeper,GK,,,,,out,summer,Bundesliga,2016,False,
SCR Altach,Bernhard Janeczek,24,Austria,Centre-Back,CB,,FC Dinamo,Romania,0.0,in,winter,Bundesliga,2016,False,
SCR Altach,César Ortiz,27,Spain,Centre-Back,CB,,SV Mattersburg,Austria,,out,winter,Bundesliga,2016,False,
SK Sturm Graz,Uros Matic,26,Serbia,Central Midfield,CM,,NAC Breda,Netherlands,0.0,in,summer,Bundesliga,2016,False,
SK Sturm Graz,Philipp Zulechner,26,Austria,Centre-Forward,CF,,SC Freiburg,Germany,0.0,in,summer,Bundesliga,2016,False,
SK Sturm Graz,Philipp Huspek,25,Austria,Right Midfield,RM,,Rapid Vienna,Austria,0.0,in,summer,Bundesliga,2016,False,
SK Sturm Graz,Deni Alar,26,Austria,Centre-Forward,CF,,Rapid Vienna,Austria,0.0,in,summer,Bundesliga,2016,False,
SK Sturm Graz,Daniel Lück,25,Germany,Goalkeeper,GK,,Energie Cottbus,Germany,0.0,in,summer,Bundesliga,2016,False,
SK Sturm Graz,Christian Schulz,33,Germany,Centre-Back,CB,,Hannover 96,Germany,0.0,in,summer,Bundesliga,2016,False,
SK Sturm Graz,Fabian Koch,27,Austria,Right-Back,RB,,Austria Vienna,Austria,0.0,in,summer,Bundesliga,2016,False,
SK Sturm Graz,Stefan Hierländer,25,Austria,Right Midfield,RM,,RB Leipzig,Germany,0.0,in,summer,Bundesliga,2016,False,
