club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Chornomorets Odessa,Alassane N'Diaye,27,France,Defensive Midfield,DM,,ASM Belfort,France,0.0,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Ivica Zunic,28,Croatia,Centre-Back,CB,,Orenburg,Russia,0.0,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Denys Vasin,28,Ukraine,Right Winger,RW,,Stal Kamyanske,Ukraine,0.0,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Artur Novotryasov,25,Ukraine,Centre-Back,CB,,FK Mariupol,Ukraine,0.0,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Sergiy Politylo,28,Ukraine,Central Midfield,CM,,Okzhetpes,Kazakhstan,0.0,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Aleksandr Gutor,28,Belarus,Goalkeeper,GK,,Tosno,Russia,0.0,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Yevgeniy Zubeyko,27,Ukraine,Right-Back,RB,,Karpaty,Ukraine,0.0,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Denys Balan,23,Ukraine,Right-Back,RB,,Cherk. Dnipro,Ukraine,0.0,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Mamadou Wagué,27,France,Centre-Back,CB,,Without Club,,,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Fousseni Bamba,27,Guinea,Defensive Midfield,DM,,Without Club,,,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Andriy Fedorenko,33,Ukraine,Goalkeeper,GK,,Without Club,,,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Oleksiy Antonov,31,Ukraine,Centre-Forward,CF,,Without Club,,,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Vitaliy Kaverin,26,Ukraine,Left Winger,LW,,Without Club,,,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Ivan Bobko,26,Ukraine,Attacking Midfield,AM,,Without Club,,,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Artem Rakhmanov,27,Belarus,Centre-Back,CB,,Without Club,,,in,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Vladyslav Kabaev,21,Ukraine,Attacking Midfield,AM,1800000.0,Zorya Lugansk,Ukraine,,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Oleksandr Azatskyi,23,Ukraine,Centre-Back,CB,,Banik Ostrava,Czech Republic,,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Denys Balan,24,Ukraine,Right-Back,RB,,Ingulets,Ukraine,0.0,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Yevgen Murashov,22,Ukraine,Left Winger,LW,,Zhemchuzhyna O.,Ukraine,0.0,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Artur Novotryasov,25,Ukraine,Centre-Back,CB,,Ingulets,Ukraine,0.0,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Davit Khocholava,24,Georgia,Centre-Back,CB,1800000.0,Shakhtar D.,Ukraine,0.0,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Dmytro Korkishko,27,Ukraine,Left Winger,LW,,Giresunspor,Turkey,0.0,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Giorgi Gadrani,22,Georgia,Centre-Back,CB,,Dinamo Tbilisi,Georgia,0.0,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Sergiy Petko,23,Ukraine,Defensive Midfield,DM,,Without Club,,,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Artem Rakhmanov,27,Belarus,Centre-Back,CB,,Without Club,,,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Ivan Bobko,26,Ukraine,Attacking Midfield,AM,,Without Club,,,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Danylo Kanevtsev,21,Ukraine,Goalkeeper,GK,,Without Club,,,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Artur Karnoza,26,Ukraine,Attacking Midfield,AM,,Without Club,,,out,summer,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Artem Chorniy,28,Ukraine,Left Midfield,LM,,FK Oleksandriya,Ukraine,0.0,in,winter,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Ivan Matyazh,30,Ukraine,Central Midfield,CM,,NK Istra,Croatia,0.0,in,winter,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Yuriy Romanyuk,20,Ukraine,Right-Back,RB,,Volyn Lutsk,Ukraine,0.0,in,winter,Premier Liga Ukr,2017,False,
Chornomorets Odessa,Guttiner,23,Brazil,Right Midfield,RM,,Olimpik Donetsk,Ukraine,0.0,in,winter,Premier Liga Ukr,2017,False,
