club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Cercle Brugge,Vitinho,18,Brazil,Right-Back,RB,4000000.0,Cruzeiro,Brazil,2350000.0,in,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Abud Omar,25,Kenya,Left-Back,LB,,Slavia Sofia,Bulgaria,0.0,in,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Franck Irie,20,Cote d'Ivoire,Right Winger,RW,,Monaco B,France,,in,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Naomichi Ueda,23,Japan,Centre-Back,CB,,Kashima Antlers,Japan,,in,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Serge Gakpé,31,Togo,Right Winger,RW,,Without Club,,,in,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Guillaume De Schryver,21,Belgium,Attacking Midfield,AM,,KVC Westerlo,Belgium,0.0,out,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Niels Coussement,27,Belgium,Right-Back,RB,,Zwevezele,Belgium,0.0,out,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Javi García,22,Spain,Left Winger,LW,,UD Ibiza,Spain,0.0,out,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Carlens Arcus,22,Haiti,Right-Back,RB,1500000.0,AJ Auxerre,France,,out,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Wesley Vanbelle,32,Belgium,Left-Back,LB,,Lommel SK,Belgium,,out,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Christophe Vincent,25,France,Defensive Midfield,DM,,Without Club,,,out,summer,Jupiler Pro League,2018,False,
Cercle Brugge,Issa Marega,20,France,Centre-Back,CB,,SM Caen,France,0.0,in,winter,Jupiler Pro League,2018,False,
Cercle Brugge,Zorhan Bassong,19,Canada,Left-Back,LB,,LOSC Lille B,France,,in,winter,Jupiler Pro League,2018,False,
Cercle Brugge,Abud Omar,26,Kenya,Left-Back,LB,,Sepsi OSK,Romania,0.0,out,winter,Jupiler Pro League,2018,False,
Cercle Brugge,Jonathan Farías,20,Argentina,Attacking Midfield,AM,,Aldosivi II,Argentina,0.0,out,winter,Jupiler Pro League,2018,False,
Cercle Brugge,Xandão,30,Brazil,Centre-Back,CB,,Red Bull,Brazil,,out,winter,Jupiler Pro League,2018,False,
Cercle Brugge,Franck Irie,20,Cote d'Ivoire,Right Winger,RW,,Without Club,,,out,winter,Jupiler Pro League,2018,False,
Club Brugge KV,Kaveh Rezaei,26,Iran,Centre-Forward,CF,,RSC Charleroi,Belgium,5000000.0,in,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Matej Mitrovic,24,Croatia,Centre-Back,CB,,Besiktas,Turkey,3500000.0,in,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Siebe Schrijvers,21,Belgium,Central Midfield,CM,2000000.0,KRC Genk,Belgium,3000000.0,in,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Karlo Letica,21,Croatia,Goalkeeper,GK,,Hajduk Split,Croatia,3000000.0,in,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Arnaut Danjuma,21,Netherlands,Left Winger,LW,20000000.0,NEC Nijmegen,Netherlands,2800000.0,in,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Sofyan Amrabat,22,Morocco,Defensive Midfield,DM,30000000.0,Feyenoord,Netherlands,2500000.0,in,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Mats Rits,24,Belgium,Defensive Midfield,DM,4000000.0,KV Mechelen,Belgium,1500000.0,in,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Clinton Mata,25,Angola,Right-Back,RB,4500000.0,RSC Charleroi,Belgium,1500000.0,in,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Luan Peres,23,Brazil,Centre-Back,CB,4000000.0,Ituano,Brazil,,in,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Anthony Limbombe,24,Belgium,Left Winger,LW,,FC Nantes,France,8250000.0,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Abdoulay Diaby,27,Mali,Right Winger,RW,1200000.0,Sporting CP,Portugal,4500000.0,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Tomás Pina,30,Spain,Central Midfield,CM,,Alavés,Spain,1500000.0,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Alexander Scholz,25,Denmark,Centre-Back,CB,2200000.0,FC Midtjylland,Denmark,1500000.0,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Sander Coopman,23,Belgium,Attacking Midfield,AM,,KV Oostende,Belgium,,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Jérémy Perbet,33,France,Centre-Forward,CF,,RSC Charleroi,Belgium,,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Elton Acolatse,22,Netherlands,Left Winger,LW,,Sint-Truiden,Belgium,,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Nikola Storm,23,Belgium,Left Winger,LW,2500000.0,KV Mechelen,Belgium,,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Jens Teunckens,20,Belgium,Goalkeeper,GK,,Royal Antwerp,Belgium,,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Fran Brodic,21,Croatia,Centre-Forward,CF,1000000.0,Catania,Italy,,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Timmy Simons,41,Belgium,Defensive Midfield,DM,,,,,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Vladimir Gabulov,34,Russia,Goalkeeper,GK,,Without Club,,,out,summer,Jupiler Pro League,2018,False,
Club Brugge KV,Dorin Rotariu,23,Romania,Right Winger,RW,,FC Astana,Kazakhstan,1500000.0,out,winter,Jupiler Pro League,2018,False,
Club Brugge KV,Leandro Pereira,27,Brazil,Centre-Forward,CF,,Matsumoto Yama.,Japan,,out,winter,Jupiler Pro League,2018,False,
Club Brugge KV,Ivan Tomecak,29,Croatia,Right-Back,RB,,HNK Rijeka,Croatia,,out,winter,Jupiler Pro League,2018,False,
KAA Gent,Arnaud Souquet,26,France,Right-Back,RB,1500000.0,OGC Nice,France,3000000.0,in,summer,Jupiler Pro League,2018,False,
KAA Gent,Igor Plastun,27,Ukraine,Centre-Back,CB,,Ludogorets,Bulgaria,3000000.0,in,summer,Jupiler Pro League,2018,False,
