club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Aberdeen FC,Lewis Ferguson,18,Scotland,Attacking Midfield,AM,12000000.0,Hamilton Acad.,Scotland,,in,summer,Scottish Premiership,2018,False,
Aberdeen FC,Stephen Gleeson,29,Ireland,Central Midfield,CM,,Ipswich,England,0.0,in,summer,Scottish Premiership,2018,False,
Aberdeen FC,Tomas Cerny,33,Czech Republic,Goalkeeper,GK,,Partick Thistle,Scotland,0.0,in,summer,Scottish Premiership,2018,False,
Aberdeen FC,Chris Forrester,25,Ireland,Central Midfield,CM,,Peterborough,England,,in,summer,Scottish Premiership,2018,False,
Aberdeen FC,Anthony O'Connor,25,Ireland,Centre-Back,CB,,Bradford,England,0.0,out,summer,Scottish Premiership,2018,False,
Aberdeen FC,Adam Rooney,30,Ireland,Centre-Forward,CF,,Salford,England,,out,summer,Scottish Premiership,2018,False,
Aberdeen FC,Nicky Maynard,31,England,Centre-Forward,CF,,Without Club,,,out,summer,Scottish Premiership,2018,False,
Aberdeen FC,Greg Halford,34,England,Centre-Back,CB,,Without Club,,,in,winter,Scottish Premiership,2018,False,
Aberdeen FC,Greg Tansey,30,England,Central Midfield,CM,,St. Mirren,Scotland,0.0,out,winter,Scottish Premiership,2018,False,
Aberdeen FC,Chris Forrester,26,Ireland,Central Midfield,CM,,St. Pat's,Ireland,0.0,out,winter,Scottish Premiership,2018,False,
Celtic FC,Odsonne Edouard,20,France,Centre-Forward,CF,20000000.0,Paris SG,France,10300000.0,in,summer,Scottish Premiership,2018,False,
Celtic FC,Scott Bain,26,Scotland,Goalkeeper,GK,,Dundee FC,Scotland,0.0,in,summer,Scottish Premiership,2018,False,
Celtic FC,Emilio Izaguirre,32,Honduras,Left-Back,LB,,Al-Fayha,Saudi Arabia,0.0,in,summer,Scottish Premiership,2018,False,
Celtic FC,Youssouf Mulumbu,31,DR Congo,Defensive Midfield,DM,,Kilmarnock FC,Scotland,0.0,in,summer,Scottish Premiership,2018,False,
Celtic FC,Moussa Dembélé,22,France,Centre-Forward,CF,12000000.0,Olympique Lyon,France,22000000.0,out,summer,Scottish Premiership,2018,False,
