club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AIK Solna,Nabil Bahoui,28,Sweden,Centre-Forward,CF,,De Graafschap,Netherlands,0.0,in,summer,Allsvenskan,2019,False,
AIK Solna,Felix Melki,25,Lebanon,Centre-Back,CB,,AFC Eskilstuna,Sweden,,in,summer,Allsvenskan,2019,False,
AIK Solna,Daniel Sundgren,28,Sweden,Right-Back,RB,,Aris Saloniki,Greece,,out,summer,Allsvenskan,2019,False,
AIK Solna,Magnar Ødegaard,26,Norway,Centre-Back,CB,,Sarpsborg 08,Norway,0.0,out,summer,Allsvenskan,2019,False,
AIK Solna,Joel Ekstrand,30,Sweden,Centre-Back,CB,,,,,out,summer,Allsvenskan,2019,False,
AIK Solna,Paulos Abraham,17,Sweden,Left Winger,LW,,Brommapojkarna,Sweden,,in,winter,Allsvenskan,2019,False,
AIK Solna,Ebenezer Ofori,24,Ghana,Defensive Midfield,DM,,VfB Stuttgart,Germany,0.0,in,winter,Allsvenskan,2019,False,
AIK Solna,Erick Otieno,23,Kenya,Left-Back,LB,1500000.0,Vasalunds IF,Sweden,,in,winter,Allsvenskan,2019,False,
AIK Solna,Jakob Haugaard,27,Denmark,Goalkeeper,GK,,Without Club,,,in,winter,Allsvenskan,2019,False,
AIK Solna,Oscar Linnér,22,Sweden,Goalkeeper,GK,,Arm. Bielefeld,Germany,,out,winter,Allsvenskan,2019,False,
AIK Solna,Tarik Elyounoussi,31,Norway,Centre-Forward,CF,,Shonan Bellmare,Japan,0.0,out,winter,Allsvenskan,2019,False,
AIK Solna,Christos Gravius,22,Sweden,Central Midfield,CM,,Degerfors,Sweden,,out,winter,Allsvenskan,2019,False,
AIK Solna,Jesper Nyholm,26,Philippines,Centre-Back,CB,,Without Club,,,out,winter,Allsvenskan,2019,False,
AIK Solna,Chinedu Obasi,33,Nigeria,Centre-Forward,CF,,Without Club,,,out,winter,Allsvenskan,2019,False,
BK Häcken,Leonard Zuta,27,North Macedonia,Left-Back,LB,,Konyaspor,Turkey,0.0,in,summer,Allsvenskan,2019,False,
BK Häcken,Gustaf Nilsson,22,Sweden,Centre-Forward,CF,2500000.0,Vejle BK,Denmark,,in,summer,Allsvenskan,2019,False,
BK Häcken,Alexander Nadj,32,Sweden,Goalkeeper,GK,,Without Club,,,in,summer,Allsvenskan,2019,False,
BK Häcken,Alexander Jeremejeff,25,Sweden,Centre-Forward,CF,1500000.0,Dynamo Dresden,Germany,1000000.0,out,summer,Allsvenskan,2019,False,
BK Häcken,Nasiru Mohammed,25,Ghana,Right Winger,RW,,Levski Sofia,Bulgaria,,out,summer,Allsvenskan,2019,False,
BK Häcken,Mervan Çelik,29,Sweden,Left Winger,LW,,Karagümrük,Turkey,0.0,out,summer,Allsvenskan,2019,False,
BK Häcken,Juhani Ojala,30,Finland,Centre-Back,CB,,Vejle BK,Denmark,,out,summer,Allsvenskan,2019,False,
BK Häcken,Leo Bengtsson,21,Sweden,Left Winger,LW,1000000.0,Hammarby,Sweden,,in,winter,Allsvenskan,2019,False,
BK Häcken,Patrik Walemark,18,Sweden,Right Winger,RW,4000000.0,Qviding FIF,Sweden,,in,winter,Allsvenskan,2019,False,
BK Häcken,Tobias Carlsson,24,Sweden,Centre-Back,CB,,Varbergs BoIS,Sweden,,in,winter,Allsvenskan,2019,False,
BK Häcken,Jasse Tuominen,24,Finland,Centre-Forward,CF,,BATE Borisov,Belarus,,in,winter,Allsvenskan,2019,False,
BK Häcken,Alexander Søderlund,32,Norway,Centre-Forward,CF,,Rosenborg,Norway,,in,winter,Allsvenskan,2019,False,
BK Häcken,Adnan Maric,22,Sweden,Defensive Midfield,DM,,Without Club,,,in,winter,Allsvenskan,2019,False,
BK Häcken,Paulinho,33,Brazil,Left Winger,LW,,H. Beer Sheva,Israel,0.0,out,winter,Allsvenskan,2019,False,
BK Häcken,Kari Arkivuo,36,Finland,Left-Back,LB,,FC Lahti,Finland,0.0,out,winter,Allsvenskan,2019,False,
BK Häcken,Teodor Walemark,18,Sweden,Centre-Back,CB,,Ljungskile SK,Sweden,0.0,out,winter,Allsvenskan,2019,False,
BK Häcken,Benjamin Arapovic,20,Sweden,Central Midfield,CM,,Norrby,Sweden,0.0,out,winter,Allsvenskan,2019,False,
BK Häcken,Kevin Ackermann,18,Sweden,Central Midfield,CM,,Örgryte,Sweden,0.0,out,winter,Allsvenskan,2019,False,
BK Häcken,Kwame Kizito,23,Ghana,Centre-Forward,CF,,Falkenbergs FF,Sweden,,out,winter,Allsvenskan,2019,False,
BK Häcken,Christoffer Källqvist,36,Sweden,Goalkeeper,GK,,,,,out,winter,Allsvenskan,2019,False,
Djurgårdens IF,Benjamin Machini,22,Sweden,Goalkeeper,GK,,Burgos CF,Spain,0.0,in,summer,Allsvenskan,2019,False,
Djurgårdens IF,Curtis Edwards,25,England,Central Midfield,CM,,Östersund,Sweden,0.0,in,summer,Allsvenskan,2019,False,
Djurgårdens IF,Emir Kujovic,31,Sweden,Centre-Forward,CF,,F. Düsseldorf,Germany,0.0,in,summer,Allsvenskan,2019,False,
Djurgårdens IF,Jesper Nyholm,26,Philippines,Centre-Back,CB,,Without Club,,,in,summer,Allsvenskan,2019,False,
Djurgårdens IF,Mihlali Mayambela,22,South Africa,Right Winger,RW,,Farense,Portugal,,out,summer,Allsvenskan,2019,False,
Djurgårdens IF,Souleymane Kone,23,Cote d'Ivoire,Centre-Back,CB,,KVC Westerlo,Belgium,,out,summer,Allsvenskan,2019,False,
Djurgårdens IF,Kalle Holmberg,26,Sweden,Centre-Forward,CF,,Norrköping,Sweden,0.0,in,winter,Allsvenskan,2019,False,
Djurgårdens IF,Emmanuel Banda,22,Zambia,Central Midfield,CM,,KV Oostende,Belgium,0.0,in,winter,Allsvenskan,2019,False,
Djurgårdens IF,Erland Tangvik,22,Norway,Goalkeeper,GK,,Tiller IL,Norway,0.0,in,winter,Allsvenskan,2019,False,
Djurgårdens IF,Marcus Danielson,30,Sweden,Centre-Back,CB,,DL Pro,China,5000000.0,out,winter,Allsvenskan,2019,False,
Djurgårdens IF,Joseph Ceesay,21,Sweden,Right-Back,RB,,Helsingborgs IF,Sweden,0.0,out,winter,Allsvenskan,2019,False,
