club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
B SAD,André Moreira,23,Portugal,Goalkeeper,GK,1200000.0,Atlético Madrid,Spain,0.0,in,summer,Liga Portugal,2019,False,
B SAD,Fran Varela,24,Spain,Left-Back,LB,,R. Majadahonda,Spain,0.0,in,summer,Liga Portugal,2019,False,
B SAD,Eduardo Kau,20,Brazil,Centre-Back,CB,,Avaí FC,Brazil,0.0,in,summer,Liga Portugal,2019,False,
B SAD,Chima Akas,25,Nigeria,Centre-Back,CB,,Kalmar FF,Sweden,,in,summer,Liga Portugal,2019,False,
B SAD,Mateo Cassierra,22,Colombia,Centre-Forward,CF,6000000.0,Ajax,Netherlands,,in,summer,Liga Portugal,2019,False,
B SAD,Marco Matias,30,Portugal,Left Winger,LW,,Without Club,,,in,summer,Liga Portugal,2019,False,
B SAD,Varela,34,Portugal,Left Winger,LW,,Without Club,,,in,summer,Liga Portugal,2019,False,
B SAD,Reinildo Mandava,25,Mozambique,Left-Back,LB,20000000.0,LOSC Lille,France,3000000.0,out,summer,Liga Portugal,2019,False,
B SAD,Vincent Sasso,28,France,Centre-Back,CB,,Servette FC,Switzerland,0.0,out,summer,Liga Portugal,2019,False,
B SAD,Zacarias Seque,19,Portugal,Centre-Back,CB,,Portosantense,Portugal,0.0,out,summer,Liga Portugal,2019,False,
B SAD,Matija Ljujic,25,Serbia,Attacking Midfield,AM,,Bnei Yehuda,Israel,0.0,out,summer,Liga Portugal,2019,False,
B SAD,Mika,28,Portugal,Goalkeeper,GK,,Coimbra,Portugal,0.0,out,summer,Liga Portugal,2019,False,
B SAD,Bruno Sales,24,Portugal,Centre-Back,CB,,Pêro Pinheiro,Portugal,0.0,out,summer,Liga Portugal,2019,False,
B SAD,Muriel,32,Brazil,Goalkeeper,GK,,Fluminense,Brazil,0.0,out,summer,Liga Portugal,2019,False,
B SAD,Pierre Sagna,28,Senegal,Right-Back,RB,,Panetolikos,Greece,0.0,out,summer,Liga Portugal,2019,False,
B SAD,Diogo Viana,29,Portugal,Right Winger,RW,,SC Braga,Portugal,0.0,out,summer,Liga Portugal,2019,False,
B SAD,Zakarya Bergdich,30,Morocco,Left-Back,LB,,Denizlispor,Turkey,,out,summer,Liga Portugal,2019,False,
B SAD,Cleylton,26,Brazil,Centre-Back,CB,,Hatta Club,United Arab Emirates,,out,summer,Liga Portugal,2019,False,
B SAD,Kiki,24,Portugal,Left-Back,LB,,Vizela,Portugal,,out,summer,Liga Portugal,2019,False,
B SAD,Nuno Tomás,23,Portugal,Centre-Back,CB,,CSKA-Sofia,Bulgaria,,out,summer,Liga Portugal,2019,False,
B SAD,Ousmane Dramé,26,France,Left Winger,LW,,,,,out,summer,Liga Portugal,2019,False,
B SAD,Nicolás Vélez,29,Argentina,Centre-Forward,CF,,Without Club,,,out,summer,Liga Portugal,2019,False,
B SAD,Merlin Tandjigora,29,Gabon,Defensive Midfield,DM,,Without Club,,,out,summer,Liga Portugal,2019,False,
B SAD,Rúben Lima,30,Portugal,Left-Back,LB,,Without Club,,,in,winter,Liga Portugal,2019,False,
B SAD,Ricardo Ferreira,27,Canada,Centre-Back,CB,,Without Club,,,in,winter,Liga Portugal,2019,False,
B SAD,Jonatan Lucca,25,Brazil,Central Midfield,CM,,Farense,Portugal,0.0,out,winter,Liga Portugal,2019,False,
B SAD,André Sousa,29,Portugal,Central Midfield,CM,,Gaziantep FK,Turkey,0.0,out,winter,Liga Portugal,2019,False,
B SAD,Benny,22,Portugal,Central Midfield,CM,,Chaves,Portugal,,out,winter,Liga Portugal,2019,False,
Boavista FC,Matheus Kayser,24,Brazil,Goalkeeper,GK,,Anápolis,Brazil,0.0,in,summer,Liga Portugal,2019,False,
Boavista FC,Lucas Tagliapietra,28,Brazil,Centre-Back,CB,,Al-Batin,Saudi Arabia,0.0,in,summer,Liga Portugal,2019,False,
Boavista FC,Iván Bulos,26,Peru,Centre-Forward,CF,,Dep. Municipal,Peru,0.0,in,summer,Liga Portugal,2019,False,
Boavista FC,Gustavo Dulanto,24,Peru,Centre-Back,CB,,Cusco FC,Peru,0.0,in,summer,Liga Portugal,2019,False,
Boavista FC,Ricardo Costa,38,Portugal,Centre-Back,CB,,Tondela,Portugal,0.0,in,summer,Liga Portugal,2019,False,
Boavista FC,Cassiano,30,Brazil,Centre-Forward,CF,,CSA,Brazil,,in,summer,Liga Portugal,2019,False,
Boavista FC,Paulinho Paula,22,Brazil,Central Midfield,CM,1000000.0,Fluminense U20,Brazil,,in,summer,Liga Portugal,2019,False,
Boavista FC,Miguel Reisinho,20,Portugal,Central Midfield,CM,,Guimarães B,Portugal,,in,summer,Liga Portugal,2019,False,
Boavista FC,Gonçalo Cardoso,18,Portugal,Centre-Back,CB,,West Ham U21,England,3000000.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Aymen Tahar,29,Algeria,Central Midfield,CM,,Panetolikos,Greece,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Iván Bulos,26,Peru,Centre-Forward,CF,,Hajduk Split,Croatia,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Fábio Espinho,34,Portugal,Attacking Midfield,AM,,Feirense,Portugal,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Talocha,29,Portugal,Left-Back,LB,,Atromitos,Greece,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Federico Falcone,29,Argentina,Centre-Forward,CF,,Birkirkara FC,Malta,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Raphael Silva,25,Brazil,Centre-Back,CB,,Al-Faisaly,Saudi Arabia,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Ibra Koneh,24,Cameroon,Left Winger,LW,,Ethnikos,Cyprus,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,André Claro,28,Portugal,Centre-Forward,CF,,Coimbra,Portugal,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Samu,23,Portugal,Attacking Midfield,AM,1000000.0,Vizela,Portugal,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Rafa Lopes,27,Portugal,Second Striker,SS,,Cracovia,Poland,0.0,out,summer,Liga Portugal,2019,False,
Boavista FC,Robson,25,Brazil,Centre-Back,CB,,Khor Fakkan,United Arab Emirates,,out,summer,Liga Portugal,2019,False,
Boavista FC,Assis,29,Brazil,Goalkeeper,GK,,Without Club,,,out,summer,Liga Portugal,2019,False,
Boavista FC,William Menezes,30,Brazil,Goalkeeper,GK,,Without Club,,,out,summer,Liga Portugal,2019,False,
Boavista FC,Samuel Pedro,18,Portugal,Left Winger,LW,,Benfica U23,Portugal,,out,winter,Liga Portugal,2019,False,
Boavista FC,Stéphane Sparagna,24,France,Centre-Back,CB,,Vilafranquense,Portugal,0.0,out,winter,Liga Portugal,2019,False,
Boavista FC,Perdigão,28,Brazil,Right Winger,RW,,Leixões,Portugal,,out,winter,Liga Portugal,2019,False,
Boavista FC,Rafael Costa,29,Brazil,Central Midfield,CM,,Damac FC,Saudi Arabia,,out,winter,Liga Portugal,2019,False,
CD Santa Clara,João Afonso,29,Portugal,Centre-Back,CB,,Vit. Guimarães,Portugal,0.0,in,summer,Liga Portugal,2019,False,
CD Santa Clara,Zé Augusto,22,Brazil,Defensive Midfield,DM,,Criciúma EC,Brazil,0.0,in,summer,Liga Portugal,2019,False,
CD Santa Clara,Zaidu,22,Nigeria,Left-Back,LB,6000000.0,Mirandela,Portugal,0.0,in,summer,Liga Portugal,2019,False,
CD Santa Clara,Rafael Ramos,24,Portugal,Right-Back,RB,,Twente FC,Netherlands,0.0,in,summer,Liga Portugal,2019,False,
CD Santa Clara,Steven Pereira,25,Cape Verde,Centre-Back,CB,,CSKA-Sofia,Bulgaria,,in,summer,Liga Portugal,2019,False,
CD Santa Clara,André Ferreira,23,Portugal,Goalkeeper,GK,,Benfica B,Portugal,,in,summer,Liga Portugal,2019,False,
CD Santa Clara,Ricardinho,21,Portugal,Left Winger,LW,,Rio Ave B,Portugal,,in,summer,Liga Portugal,2019,False,
CD Santa Clara,Kaio,23,Brazil,Centre-Back,CB,2000000.0,Krasnodar,Russia,3000000.0,out,summer,Liga Portugal,2019,False,
CD Santa Clara,Pedro Pacheco,35,Canada,Central Midfield,CM,,SC Ideal,Portugal,0.0,out,summer,Liga Portugal,2019,False,
CD Santa Clara,Minhoca,31,Portugal,Attacking Midfield,AM,,Varzim,Portugal,0.0,out,summer,Liga Portugal,2019,False,
CD Santa Clara,Serginho,36,Portugal,Goalkeeper,GK,,Varzim,Portugal,0.0,out,summer,Liga Portugal,2019,False,
CD Santa Clara,Ousmane Sountoura,24,Mali,Attacking Midfield,AM,,Casa Pia,Portugal,0.0,out,summer,Liga Portugal,2019,False,
CD Santa Clara,Zé Augusto,23,Brazil,Defensive Midfield,DM,,,,,out,summer,Liga Portugal,2019,False,
CD Santa Clara,Accioly,38,Brazil,Centre-Back,CB,,,,,out,summer,Liga Portugal,2019,False,
CD Santa Clara,Clemente,35,Portugal,Centre-Forward,CF,,,,,out,summer,Liga Portugal,2019,False,
CD Santa Clara,Costinha,27,Portugal,Attacking Midfield,AM,,Chaves,Portugal,0.0,in,winter,Liga Portugal,2019,False,
