club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
BSC Young Boys,Marvin Spielmann,23,Switzerland,Left Midfield,LM,,FC Thun,Switzerland,2000000.0,in,summer,Super League,2019,False,
BSC Young Boys,Christopher Martins Pereira,22,Luxembourg,Defensive Midfield,DM,4500000.0,Olympique Lyon,France,2000000.0,in,summer,Super League,2019,False,
BSC Young Boys,Vincent Sierro,23,Switzerland,Central Midfield,CM,2000000.0,SC Freiburg,Germany,1500000.0,in,summer,Super League,2019,False,
BSC Young Boys,Cédric Zesiger,21,Switzerland,Centre-Back,CB,7500000.0,Grasshoppers,Switzerland,,in,summer,Super League,2019,False,
BSC Young Boys,Fabian Lustenberger,31,Switzerland,Centre-Back,CB,,Hertha BSC,Germany,0.0,in,summer,Super League,2019,False,
BSC Young Boys,Djibril Sow,22,Switzerland,Central Midfield,CM,22000000.0,E. Frankfurt,Germany,14000000.0,out,summer,Super League,2019,False,
BSC Young Boys,Kevin Mbabu,24,Switzerland,Right-Back,RB,3500000.0,VfL Wolfsburg,Germany,9200000.0,out,summer,Super League,2019,False,
BSC Young Boys,Miguel Castroman,24,Switzerland,Attacking Midfield,AM,,FC Thun,Switzerland,0.0,out,summer,Super League,2019,False,
BSC Young Boys,Thorsten Schick,29,Austria,Right-Back,RB,,Rapid Vienna,Austria,0.0,out,summer,Super League,2019,False,
BSC Young Boys,Loris Benito,27,Switzerland,Centre-Back,CB,,G. Bordeaux,France,0.0,out,summer,Super League,2019,False,
BSC Young Boys,Gregory Wüthrich,24,Switzerland,Centre-Back,CB,3000000.0,Perth Glory,Australia,0.0,out,summer,Super League,2019,False,
BSC Young Boys,Kwadwo Duah,22,Switzerland,Centre-Forward,CF,1300000.0,FC Wil 1900,Switzerland,,out,summer,Super League,2019,False,
BSC Young Boys,Steve von Bergen,36,Switzerland,Centre-Back,CB,,,,,out,summer,Super League,2019,False,
BSC Young Boys,Meschack Elia,22,DR Congo,Second Striker,SS,6000000.0,TP Mazembe,DR Congo,1000000.0,in,winter,Super League,2019,False,
FC Basel 1893,Omar Alderete,22,Paraguay,Centre-Back,CB,3000000.0,Huracán,Argentina,1700000.0,in,summer,Super League,2019,False,
FC Basel 1893,Kemal Ademi,23,Switzerland,Centre-Forward,CF,,Neuchâtel Xamax,Switzerland,0.0,in,summer,Super League,2019,False,
FC Basel 1893,Albian Ajeti,22,Switzerland,Centre-Forward,CF,1500000.0,West Ham,England,11300000.0,out,summer,Super League,2019,False,
FC Basel 1893,Éder Balanta,26,Colombia,Defensive Midfield,DM,2000000.0,Club Brugge,Belgium,2400000.0,out,summer,Super League,2019,False,
FC Basel 1893,Robin Huser,21,Switzerland,Defensive Midfield,DM,,FC Chiasso,Switzerland,0.0,out,summer,Super League,2019,False,
FC Basel 1893,Marek Suchy,31,Czech Republic,Centre-Back,CB,,FC Augsburg,Germany,0.0,out,summer,Super League,2019,False,
FC Basel 1893,Martin Hansen,29,Denmark,Goalkeeper,GK,,Strømsgodset,Norway,0.0,out,summer,Super League,2019,False,
FC Basel 1893,Pedro Pacheco,22,Portugal,Centre-Back,CB,,Amarante,Portugal,0.0,out,summer,Super League,2019,False,
FC Basel 1893,Neftali Manzambi,22,Switzerland,Centre-Forward,CF,,Sporting Gijón,Spain,,out,summer,Super League,2019,False,
FC Basel 1893,Signori Antonio,24,Angola,Goalkeeper,GK,,Without Club,,,out,summer,Super League,2019,False,
FC Basel 1893,Geoffroy Serey Dié,34,Cote d'Ivoire,Defensive Midfield,DM,,Without Club,,,out,summer,Super League,2019,False,
FC Basel 1893,Noah Okafor,19,Switzerland,Centre-Forward,CF,20000000.0,RB Salzburg,Austria,11200000.0,out,winter,Super League,2019,False,
FC Basel 1893,Gezim Pepsi,21,Kosovo,Defensive Midfield,DM,,FC Winterthur,Switzerland,,out,winter,Super League,2019,False,
FC Lugano,Sandi Lovrić,21,Slovenia,Central Midfield,CM,10000000.0,Sturm Graz,Austria,0.0,in,summer,Super League,2019,False,
FC Lugano,Filip Holender,24,Hungary,Left Winger,LW,,Honvéd,Hungary,0.0,in,summer,Super League,2019,False,
FC Lugano,Francisco Rodríguez,23,Switzerland,Attacking Midfield,AM,,FC Luzern,Switzerland,,in,summer,Super League,2019,False,
FC Lugano,Olivier Custodio,24,Switzerland,Defensive Midfield,DM,,FC Luzern,Switzerland,,in,summer,Super League,2019,False,
FC Lugano,Franklin Sasere,21,Nigeria,Centre-Forward,CF,,Sunshine Stars,Nigeria,,in,summer,Super League,2019,False,
FC Lugano,Daniel Pavlovic,32,Bosnia-Herzegovina,Centre-Back,CB,,Without Club,,,in,summer,Super League,2019,False,
FC Lugano,Jefferson,31,Brazil,Left-Back,LB,,Without Club,,,in,summer,Super League,2019,False,
FC Lugano,Joel Untersee,26,Switzerland,Right-Back,RB,,Without Club,,,in,summer,Super League,2019,False,
FC Lugano,Nikita Vlasenko,18,Switzerland,Centre-Back,CB,,Juventus U19,Italy,1800000.0,out,summer,Super League,2019,False,
FC Lugano,Edoardo Masciangelo,22,Italy,Left-Back,LB,,Juventus U23,Italy,1000000.0,out,summer,Super League,2019,False,
FC Lugano,Mario Piccinocchi,24,Italy,Defensive Midfield,DM,,Ascoli,Italy,0.0,out,summer,Super League,2019,False,
FC Lugano,Younes Bnou Marzouk,23,Morocco,Centre-Forward,CF,,FC Chiasso,Switzerland,0.0,out,summer,Super League,2019,False,
FC Lugano,Giorgio Perego,17,Italy,Defensive Midfield,DM,,Castellanzese,Italy,0.0,out,summer,Super League,2019,False,
FC Lugano,Gioele Franzese,20,Switzerland,Centre-Forward,CF,,Milano City,Italy,0.0,out,summer,Super League,2019,False,
FC Lugano,Valon Fazliu,23,Switzerland,Attacking Midfield,AM,,FC Wil 1900,Switzerland,0.0,out,summer,Super League,2019,False,
FC Lugano,Dragan Mihajlovic,27,Switzerland,Right-Back,RB,,APOEL Nicosia,Cyprus,0.0,out,summer,Super League,2019,False,
FC Lugano,Salah Aziz Binous,18,Switzerland,Centre-Forward,CF,,FC Luzern,Switzerland,,out,summer,Super League,2019,False,
FC Lugano,Marc Janko,36,Austria,Centre-Forward,CF,,,,,out,summer,Super League,2019,False,
FC Lugano,Jetmir Krasniqi,24,Kosovo,Right-Back,RB,,Without Club,,,out,summer,Super League,2019,False,
FC Lugano,Christopher Lungoyi,19,Switzerland,Centre-Forward,CF,,FC Porto B,Portugal,,in,winter,Super League,2019,False,
FC Lugano,Carlinhos Junior,25,Brazil,Left Winger,LW,,Shimizu S-Pulse,Japan,1800000.0,out,winter,Super League,2019,False,
FC Lugano,Alexander Muci,19,Switzerland,Goalkeeper,GK,,Latina Calcio,Italy,0.0,out,winter,Super League,2019,False,
FC Lugano,Bálint Vécsei,26,Hungary,Central Midfield,CM,1200000.0,Ferencváros,Hungary,,out,winter,Super League,2019,False,
FC Luzern,Ibrahima Ndiaye,21,Senegal,Left Winger,LW,,Wadi Degla,Egypt,,in,summer,Super League,2019,False,
FC Luzern,Francesco Margiotta,25,Italy,Centre-Forward,CF,,Lausanne-Sport,Switzerland,,in,summer,Super League,2019,False,
FC Luzern,Loïc Jacot,19,Switzerland,Goalkeeper,GK,,Neuchâtel Xamax,Switzerland,,in,summer,Super League,2019,False,
FC Luzern,Salah Aziz Binous,18,Switzerland,Centre-Forward,CF,,FC Lugano,Switzerland,,in,summer,Super League,2019,False,
FC Luzern,Marius Müller,25,Germany,Goalkeeper,GK,1000000.0,RB Leipzig,Germany,,in,summer,Super League,2019,False,
FC Luzern,Rubén Vargas,20,Switzerland,Right Winger,RW,6500000.0,FC Augsburg,Germany,4000000.0,out,summer,Super League,2019,False,
FC Luzern,Valeriane Gvilia,25,Georgia,Central Midfield,CM,,Legia Warszawa,Poland,,out,summer,Super League,2019,False,
FC Luzern,Yannick Schmid,24,Switzerland,Centre-Back,CB,,FC Vaduz,Switzerland,0.0,out,summer,Super League,2019,False,
FC Luzern,Tomi Juric,28,Australia,Centre-Forward,CF,,CSKA-Sofia,Bulgaria,0.0,out,summer,Super League,2019,False,
FC Luzern,Dario Ulrich,21,Switzerland,Right-Back,RB,,SC Kriens,Switzerland,0.0,out,summer,Super League,2019,False,
FC Luzern,Christian Schneuwly,31,Switzerland,Right Midfield,RM,,Lausanne-Sport,Switzerland,0.0,out,summer,Super League,2019,False,
FC Luzern,Olivier Custodio,24,Switzerland,Defensive Midfield,DM,,FC Lugano,Switzerland,,out,summer,Super League,2019,False,
FC Luzern,Francisco Rodríguez,23,Switzerland,Attacking Midfield,AM,,FC Lugano,Switzerland,,out,summer,Super League,2019,False,
FC Luzern,Claudio Lustenberger,32,Switzerland,Left-Back,LB,,,,,out,summer,Super League,2019,False,
FC Luzern,Dren Feka,22,Kosovo,Defensive Midfield,DM,,Without Club,,,out,summer,Super League,2019,False,
FC Luzern,Marco Bürki,26,Switzerland,Centre-Back,CB,,Zulte Waregem,Belgium,,in,winter,Super League,2019,False,
FC Luzern,Remo Arnold,22,Switzerland,Defensive Midfield,DM,,FC Winterthur,Switzerland,0.0,out,winter,Super League,2019,False,
FC Luzern,Lazar Cirkovic,27,Serbia,Centre-Back,CB,,Maccabi Netanya,Israel,0.0,out,winter,Super League,2019,False,
FC Sion,Mattias Andersson,21,Sweden,Centre-Back,CB,,Juventus U23,Italy,4000000.0,in,summer,Super League,2019,False,
FC Sion,Enzo Barrenechea,18,Argentina,Defensive Midfield,DM,3000000.0,Newell's II,Argentina,3100000.0,in,summer,Super League,2019,False,
FC Sion,Anto Grgic,22,Switzerland,Central Midfield,CM,,VfB Stuttgart,Germany,,in,summer,Super League,2019,False,
FC Sion,Patrick Luan,20,Brazil,Centre-Forward,CF,,Fluminense U20,Brazil,0.0,in,summer,Super League,2019,False,
FC Sion,Seydou Doumbia,31,Cote d'Ivoire,Centre-Forward,CF,,Girona,Spain,0.0,in,summer,Super League,2019,False,
FC Sion,Mickaël Facchinetti,28,Switzerland,Left-Back,LB,,APOEL Nicosia,Cyprus,0.0,in,summer,Super League,2019,False,
FC Sion,Timothy Fayulu,19,DR Congo,Goalkeeper,GK,1000000.0,Olymp. Genève,Switzerland,0.0,in,summer,Super League,2019,False,
FC Sion,Alexandre Nsakala,19,France,Right-Back,RB,,FC Sochaux,France,,in,summer,Super League,2019,False,
FC Sion,Valon Behrami,34,Switzerland,Defensive Midfield,DM,,Udinese Calcio,Italy,,in,summer,Super League,2019,False,
FC Sion,Konan Oussou,30,Cote d'Ivoire,Centre-Forward,CF,,FC San Pedro,Cote d'Ivoire,,in,summer,Super League,2019,False,
FC Sion,Jean Ruiz,21,France,Centre-Back,CB,,FC Sochaux,France,,in,summer,Super League,2019,False,
FC Sion,Moussa Djitté,19,Senegal,Centre-Forward,CF,1400000.0,Grenoble,France,0.0,out,summer,Super League,2019,False,
FC Sion,André Neitzke,32,Brazil,Centre-Back,CB,,Neuchâtel Xamax,Switzerland,0.0,out,summer,Super League,2019,False,
FC Sion,Anthony Maisonnial,21,France,Goalkeeper,GK,,Paris FC,France,0.0,out,summer,Super League,2019,False,
FC Sion,Burim Kukeli,35,Albania,Defensive Midfield,DM,,SC Kriens,Switzerland,0.0,out,summer,Super League,2019,False,
FC Sion,Noah Blasucci,20,Switzerland,Attacking Midfield,AM,,FC Chiasso,Switzerland,0.0,out,summer,Super League,2019,False,
FC Sion,Martin Angha,25,Switzerland,Centre-Back,CB,,Fortuna Sittard,Netherlands,,out,summer,Super League,2019,False,
FC Sion,Konan Oussou,30,Cote d'Ivoire,Centre-Forward,CF,,Stade-Lausanne,Switzerland,,out,summer,Super League,2019,False,
FC Sion,Freddy Mveng,27,Switzerland,Defensive Midfield,DM,,Neuchâtel Xamax,Switzerland,,out,summer,Super League,2019,False,
FC Sion,Hervé Epitaux,23,Switzerland,Right-Back,RB,,FC Chiasso,Switzerland,,out,summer,Super League,2019,False,
FC Sion,Noah Berchtold,19,Switzerland,Goalkeeper,GK,,,,,out,summer,Super League,2019,False,
FC Sion,Robert Acquafresca,31,Italy,Centre-Forward,CF,,Without Club,,,out,summer,Super League,2019,False,
FC Sion,Carlitos,36,Portugal,Left Midfield,LM,,,,,out,summer,Super League,2019,False,
FC Sion,Valon Behrami,34,Switzerland,Defensive Midfield,DM,,Without Club,,,out,summer,Super League,2019,False,
