club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
FK Cukaricki,Nemanja Tosic,23,Serbia,Left-Back,LB,2000000.0,Macva,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Cukaricki,Andrej Bosnic,19,Bosnia-Herzegovina,Left Winger,LW,,B. Banja Luka,Bosnia-Herzegovina,0.0,in,summer,Super Liga Srbije,2020,False,
FK Cukaricki,Srdjan Mijailovic,26,Serbia,Centre-Back,CB,2000000.0,Without Club,,,in,summer,Super Liga Srbije,2020,False,
FK Cukaricki,Miroslav Bogosavac,23,Serbia,Left-Back,LB,3000000.0,Akhmat Grozny,Russia,,out,summer,Super Liga Srbije,2020,False,
FK Cukaricki,Kosta Aleksic,22,Serbia,Centre-Forward,CF,,FK Indjija,Serbia,0.0,out,summer,Super Liga Srbije,2020,False,
FK Cukaricki,Mihajlo Baic,18,Serbia,Centre-Forward,CF,,Spartak U19,Serbia,0.0,in,winter,Super Liga Srbije,2020,False,
FK Cukaricki,Stefan Colovic,26,Serbia,Right Winger,RW,,Dundalk FC,Ireland,,in,winter,Super Liga Srbije,2020,False,
FK Cukaricki,Strahinja Tanasijevic,23,Serbia,Centre-Back,CB,,Chievo Verona,Italy,,in,winter,Super Liga Srbije,2020,False,
FK Cukaricki,Djordje Jovanovic,21,Serbia,Centre-Forward,CF,3500000.0,Without Club,,,in,winter,Super Liga Srbije,2020,False,
FK Cukaricki,Veljko Birmancevic,22,Serbia,Left Winger,LW,3000000.0,Malmö FF,Sweden,1000000.0,out,winter,Super Liga Srbije,2020,False,
FK Cukaricki,Eze Vincent Okeuhie,27,Nigeria,Right Winger,RW,,Soligorsk,Belarus,,out,winter,Super Liga Srbije,2020,False,
FK Cukaricki,Ibrahima Ndiaye,26,Senegal,Right Winger,RW,,Al-Hilal,Sudan,,out,winter,Super Liga Srbije,2020,False,
FK Cukaricki,Nikola Terzic,20,Serbia,Right Winger,RW,,Partizan,Serbia,0.0,out,winter,Super Liga Srbije,2020,False,
FK Indjija,Dusan Antic,20,Serbia,Goalkeeper,GK,,FK Sremčica,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,David Dujic,23,Serbia,Attacking Midfield,AM,,Radnicki BG,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Vladimir Bubanja,31,Serbia,Centre-Back,CB,,Surkhon,Uzbekistan,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Ivan Markovic,28,Serbia,Centre-Forward,CF,,SCC Mohammedia,Morocco,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Radomir Novakovic,20,Germany,Goalkeeper,GK,,Roda JC,Netherlands,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Vasilije Bakic,20,Serbia,Centre-Back,CB,,Vozdovac,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Milan Radin,29,Serbia,Defensive Midfield,DM,,Korona Kielce,Poland,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Nemanja Obradovic,31,Serbia,Left Winger,LW,,Kisvárda,Hungary,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Igor Nedeljkovic,19,Serbia,Right-Back,RB,,Metalac U19,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Uros Sekulic,22,Serbia,Centre-Back,CB,,Rad,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Marko Jovicic,25,Serbia,Goalkeeper,GK,,Partizan,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Jovan Krneta,28,Serbia,Centre-Back,CB,,Zira FC,Azerbaijan,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Rados Protic,33,Serbia,Left-Back,LB,,Kisvárda,Hungary,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Eliomar,32,Brazil,Central Midfield,CM,,Mladost,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Mile Vujasin,26,Serbia,Attacking Midfield,AM,,Kolubara,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Kosta Aleksic,22,Serbia,Centre-Forward,CF,,FK Cukaricki,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Uros Vukicevic,20,Serbia,Left Winger,LW,,Sindjelic Bg,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Mirko Milikic,18,Montenegro,Centre-Back,CB,,Red Star U19,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Aleksandar Vulic,19,Serbia,Goalkeeper,GK,,Red Star U19,Serbia,0.0,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Vanja Vucicevic,22,Serbia,Centre-Forward,CF,,Without Club,,,in,summer,Super Liga Srbije,2020,False,
FK Indjija,Mihajlo Banjac,20,Serbia,Central Midfield,CM,2000000.0,FK TSC,Serbia,,out,summer,Super Liga Srbije,2020,False,
FK Indjija,Miloje Prekovic,29,Serbia,Goalkeeper,GK,,Vozdovac,Serbia,0.0,out,summer,Super Liga Srbije,2020,False,
FK Indjija,Nikola Andjelkovic,27,Serbia,Right-Back,RB,,Dobanovci,Serbia,0.0,out,summer,Super Liga Srbije,2020,False,
FK Indjija,Miroslav Markovic,30,Serbia,Centre-Forward,CF,,Baltika,Russia,0.0,out,summer,Super Liga Srbije,2020,False,
FK Indjija,Dejan Stanivukovic,26,Serbia,Goalkeeper,GK,,Kolubara,Serbia,0.0,out,summer,Super Liga Srbije,2020,False,
