club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AZ Alkmaar,Vangelis Pavlidis,22.0,Greece,Centre-Forward,CF,20000000.0,Willem II,Netherlands,2500000.0,in,summer,Eredivisie,2021,False,
AZ Alkmaar,Peter Vindahl,23.0,Denmark,Goalkeeper,GK,,Nordsjaelland,Denmark,1800000.0,in,summer,Eredivisie,2021,False,
AZ Alkmaar,Aslak Witry,25.0,Norway,Right-Back,RB,1700000.0,Djurgården,Sweden,1750000.0,in,summer,Eredivisie,2021,False,
AZ Alkmaar,Sam Beukema,22.0,Netherlands,Centre-Back,CB,10000000.0,Go Ahead Eagles,Netherlands,,in,summer,Eredivisie,2021,False,
AZ Alkmaar,Bruno Martins Indi,29.0,Netherlands,Centre-Back,CB,2000000.0,Stoke City,England,,in,summer,Eredivisie,2021,False,
AZ Alkmaar,Myron Boadu,20.0,Netherlands,Centre-Forward,CF,7000000.0,Monaco,France,17000000.0,out,summer,Eredivisie,2021,False,
AZ Alkmaar,Calvin Stengs,22.0,Netherlands,Attacking Midfield,AM,10000000.0,OGC Nice,France,15000000.0,out,summer,Eredivisie,2021,False,
AZ Alkmaar,Teun Koopmeiners,23.0,Netherlands,Defensive Midfield,DM,35000000.0,Atalanta BC,Italy,14000000.0,out,summer,Eredivisie,2021,False,
AZ Alkmaar,Marco Bizot,30.0,Netherlands,Goalkeeper,GK,3500000.0,Stade Brestois,France,5000000.0,out,summer,Eredivisie,2021,False,
AZ Alkmaar,Jasper Schendelaar,20.0,Netherlands,Goalkeeper,GK,,PEC Zwolle,Netherlands,0.0,out,summer,Eredivisie,2021,False,
AZ Alkmaar,Ramon Leeuwin,33.0,Suriname,Centre-Back,CB,,Almere City,Netherlands,0.0,out,summer,Eredivisie,2021,False,
AZ Alkmaar,Jonas Svensson,28.0,Norway,Right-Back,RB,2800000.0,Adana Demirspor,Turkey,0.0,out,summer,Eredivisie,2021,False,
AZ Alkmaar,Rody de Boer,23.0,Netherlands,Goalkeeper,GK,,Roda JC,Netherlands,0.0,out,summer,Eredivisie,2021,False,
AZ Alkmaar,Maxim Gullit,20.0,Netherlands,Centre-Back,CB,,SC Cambuur,Netherlands,,out,summer,Eredivisie,2021,False,
AZ Alkmaar,Milos Kerkez,18.0,Hungary,Left-Back,LB,18000000.0,Milan U19,Italy,1180000.0,in,winter,Eredivisie,2021,False,
AZ Alkmaar,Albert Gudmundsson,24.0,Iceland,Left Winger,LW,12000000.0,Genoa,Italy,1500000.0,out,winter,Eredivisie,2021,False,
AZ Alkmaar,Thijs Oosting,21.0,Netherlands,Attacking Midfield,AM,,Willem II,Netherlands,1000000.0,out,winter,Eredivisie,2021,False,
Ajax Amsterdam,Mohamed Daramy,19.0,Denmark,Left Winger,LW,10000000.0,FC Copenhagen,Denmark,12000000.0,in,summer,Eredivisie,2021,False,
Ajax Amsterdam,Steven Berghuis,29.0,Netherlands,Right Winger,RW,9000000.0,Feyenoord,Netherlands,5500000.0,in,summer,Eredivisie,2021,False,
Ajax Amsterdam,Jay Gorter,21.0,Netherlands,Goalkeeper,GK,2000000.0,Go Ahead Eagles,Netherlands,1000000.0,in,summer,Eredivisie,2021,False,
