club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AS Monaco,Myron Boadu,20,Netherlands,Centre-Forward,CF,7000000.0,AZ Alkmaar,Netherlands,17000000.0,in,summer,Ligue 1,2021,False,
AS Monaco,Jean Lucas,23,Brazil,Central Midfield,CM,5000000.0,Olympique Lyon,France,11000000.0,in,summer,Ligue 1,2021,False,
AS Monaco,Ismail Jakobs,21,Senegal,Left-Back,LB,6000000.0,1.FC Köln,Germany,6500000.0,in,summer,Ligue 1,2021,False,
AS Monaco,Benjamin Henrichs,24,Germany,Right-Back,RB,20000000.0,RB Leipzig,Germany,15000000.0,out,summer,Ligue 1,2021,False,
AS Monaco,Fodé Ballo-Touré,24,Senegal,Left-Back,LB,3500000.0,AC Milan,Italy,5400000.0,out,summer,Ligue 1,2021,False,
AS Monaco,Henry Onyekuru,24,Nigeria,Left Winger,LW,4800000.0,Olympiacos,Greece,4500000.0,out,summer,Ligue 1,2021,False,
AS Monaco,Giulian Biancone,21,France,Right-Back,RB,6000000.0,Troyes,France,2500000.0,out,summer,Ligue 1,2021,False,
AS Monaco,Enzo Millot,19,France,Attacking Midfield,AM,20000000.0,VfB Stuttgart,Germany,1750000.0,out,summer,Ligue 1,2021,False,
AS Monaco,Gil Dias,24,Portugal,Left Midfield,LM,1500000.0,Benfica,Portugal,1500000.0,out,summer,Ligue 1,2021,False,
AS Monaco,Youssef Aït Bennasser,25,Morocco,Defensive Midfield,DM,,Adanaspor,Turkey,0.0,out,summer,Ligue 1,2021,False,
AS Monaco,Jorge,25,Brazil,Left-Back,LB,1100000.0,Palmeiras,Brazil,0.0,out,summer,Ligue 1,2021,False,
AS Monaco,Stevan Jovetic,31,Montenegro,Centre-Forward,CF,1500000.0,Hertha BSC,Germany,0.0,out,summer,Ligue 1,2021,False,
AS Monaco,Keita Baldé,26,Senegal,Centre-Forward,CF,2000000.0,Cagliari Calcio,Italy,0.0,out,summer,Ligue 1,2021,False,
AS Monaco,Loïc Badiashile,23,France,Goalkeeper,GK,,Without Club,,,out,summer,Ligue 1,2021,False,
AS Monaco,Adrien Bongiovanni,21,Belgium,Left Winger,LW,,Without Club,,,out,summer,Ligue 1,2021,False,
AS Monaco,Julien Serrano,23,France,Left-Back,LB,,Without Club,,,out,summer,Ligue 1,2021,False,
AS Monaco,Vanderson,20,Brazil,Right-Back,RB,20000000.0,Grêmio,Brazil,11000000.0,in,winter,Ligue 1,2021,False,
AS Monaco,Wilson Isidor,21,France,Centre-Forward,CF,5000000.0,Loko Moscow,Russia,3500000.0,out,winter,Ligue 1,2021,False,
AS Saint-Étienne,Kévin Monnet-Paquet,32,France,Left Winger,LW,,Aris Limassol,Cyprus,0.0,out,summer,Ligue 1,2021,False,
