club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Bruk-Bet Termalica Nieciecza,Nemanja Tekijaski,24,Serbia,Centre-Back,CB,,Spartak,Serbia,,in,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Filip Modelski,28,Poland,Right-Back,RB,,Podbeskidzie,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Adam Hlousek,32,Czech Republic,Left-Back,LB,,Viktoria Plzen,Czech Republic,0.0,in,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Bartlomiej Kukulowicz,20,Poland,Right-Back,RB,,Gornik Leczna,Poland,0.0,in,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Michal Hubinek,26,Czech Republic,Defensive Midfield,DM,,Mlada Boleslav,Czech Republic,,in,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Muris Mesanovic,31,Bosnia-Herzegovina,Centre-Forward,CF,,Mlada Boleslav,Czech Republic,,in,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Pawel Oleksy,30,Poland,Centre-Back,CB,,Stal Rzeszow,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Damian Pawelski,22,Poland,Goalkeeper,GK,,Sportis Lochowo,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Krzysztof Iwanicki,21,Poland,Defensive Midfield,DM,,Blonianka,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Hubert Kolano,18,Poland,Left Winger,LW,,Rekord B-B,Poland,0.0,out,summer,Pko Bp Ekstraklasa,2021,False,
Bruk-Bet Termalica Nieciecza,Dawid Kalisz,21,Poland,Attacking Midfield,AM,,Without Club,,,out,summer,Pko Bp Ekstraklasa,2021,False,
