club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Akhmat Grozny,Artem Timofeev,27,Russia,Defensive Midfield,DM,2800000.0,Spartak Moscow,Russia,,in,summer,Premier Liga,2021,False,
Akhmat Grozny,Senin Sebai,27,Cote d'Ivoire,Centre-Forward,CF,,Khimki,Russia,,in,summer,Premier Liga,2021,False,
Akhmat Grozny,Mohamed Konaté,23,Burkina Faso,Centre-Forward,CF,2500000.0,Khimki,Russia,0.0,in,summer,Premier Liga,2021,False,
Akhmat Grozny,Vladimir Iljin,29,Russia,Centre-Forward,CF,,Krasnodar,Russia,3000000.0,out,summer,Premier Liga,2021,False,
Akhmat Grozny,Maksim Nenakhov,22,Russia,Right-Back,RB,1800000.0,Loko Moscow,Russia,2000000.0,out,summer,Premier Liga,2021,False,
Akhmat Grozny,Ismael Silva,26,Brazil,Central Midfield,CM,1000000.0,Al-Faisaly,Saudi Arabia,0.0,out,summer,Premier Liga,2021,False,
Akhmat Grozny,Odise Roshi,30,Albania,Right Winger,RW,,Boluspor,Turkey,0.0,out,summer,Premier Liga,2021,False,
Akhmat Grozny,Pavel Kaloshin,23,Russia,Centre-Back,CB,,Irtysh Omsk,Russia,0.0,out,summer,Premier Liga,2021,False,
Akhmat Grozny,Andrés Ponce,24,Venezuela,Centre-Forward,CF,,Vejle BK,Denmark,0.0,out,summer,Premier Liga,2021,False,
Akhmat Grozny,Wilker Ángel,28,Venezuela,Centre-Back,CB,,Göztepe,Turkey,0.0,out,summer,Premier Liga,2021,False,
Akhmat Grozny,Magomed Mitrishev,28,Russia,Right Winger,RW,,Without Club,,,out,summer,Premier Liga,2021,False,
Akhmat Grozny,Aleksandr Troshechkin,25,Russia,Defensive Midfield,DM,,Khimki,Russia,,in,winter,Premier Liga,2021,False,
Akhmat Grozny,Ravanelli,24,Brazil,Attacking Midfield,AM,,São Bernardo,Brazil,0.0,out,winter,Premier Liga,2021,False,
Akhmat Grozny,Artem Polyarus,29,Ukraine,Left Winger,LW,,Nieciecza,Poland,0.0,out,winter,Premier Liga,2021,False,
Akhmat Grozny,Ablaye Mbengue,29,Senegal,Centre-Forward,CF,,Without Club,,,out,winter,Premier Liga,2021,False,
Arsenal Tula,Axel Björnström,25,Sweden,Left-Back,LB,,Sirius,Sweden,,in,summer,Premier Liga,2021,False,
Arsenal Tula,Ruslan Kambolov,31,Russia,Defensive Midfield,DM,,Krasnodar,Russia,0.0,in,summer,Premier Liga,2021,False,
Arsenal Tula,Ayaz Quliyev,24,Azerbaijan,Central Midfield,CM,,Spartak Moscow,Russia,0.0,in,summer,Premier Liga,2021,False,
Arsenal Tula,Evgeniy Markov,26,Russia,Centre-Forward,CF,,Krasnodar,Russia,0.0,in,summer,Premier Liga,2021,False,
Arsenal Tula,Igor Smolnikov,32,Russia,Right-Back,RB,,Krasnodar,Russia,0.0,in,summer,Premier Liga,2021,False,
Arsenal Tula,Ivan Novoseltsev,29,Russia,Centre-Back,CB,,Sochi,Russia,0.0,in,summer,Premier Liga,2021,False,
Arsenal Tula,Anton Kochenkov,34,Kyrgyzstan,Goalkeeper,GK,,Loko Moscow,Russia,0.0,in,summer,Premier Liga,2021,False,
Arsenal Tula,Zuriko Davitashvili,20,Georgia,Right Winger,RW,3000000.0,Rubin Kazan,Russia,0.0,in,summer,Premier Liga,2021,False,
Arsenal Tula,Uros Radakovic,27,Serbia,Centre-Back,CB,1300000.0,Sparta Prague,Czech Republic,0.0,in,summer,Premier Liga,2021,False,
Arsenal Tula,Roman Minaev,23,Russia,Centre-Forward,CF,,Rotor Volgograd,Russia,,out,summer,Premier Liga,2021,False,
Arsenal Tula,Artur Nigmatullin,30,Russia,Goalkeeper,GK,,Nizhny Novgorod,Russia,0.0,out,summer,Premier Liga,2021,False,
Arsenal Tula,Yuriy Kovalev,28,Belarus,Right Midfield,RM,,Orenburg,Russia,0.0,out,summer,Premier Liga,2021,False,
Arsenal Tula,Kirill Kombarov,34,Russia,Right-Back,RB,,,,,out,summer,Premier Liga,2021,False,
Arsenal Tula,Anri Khagush,34,Russia,Right-Back,RB,,,,,out,summer,Premier Liga,2021,False,
Arsenal Tula,Robert Bauer,26,Germany,Centre-Back,CB,,Without Club,,,out,summer,Premier Liga,2021,False,
Arsenal Tula,Gia Grigalava,31,Georgia,Centre-Back,CB,,Without Club,,,out,summer,Premier Liga,2021,False,
Arsenal Tula,Danil Stepanov,21,Russia,Left-Back,LB,,Rubin Kazan,Russia,,in,winter,Premier Liga,2021,False,
Arsenal Tula,Djordje Despotovic,29,Serbia,Centre-Forward,CF,,Rubin Kazan,Russia,0.0,in,winter,Premier Liga,2021,False,
Arsenal Tula,Daniil Khlusevich,20,Russia,Left-Back,LB,5000000.0,Spartak Moscow,Russia,3000000.0,out,winter,Premier Liga,2021,False,
Arsenal Tula,Aleksandr Denisov,32,Russia,Centre-Back,CB,,SKA Khabarovsk,Russia,0.0,out,winter,Premier Liga,2021,False,
Arsenal Tula,Alexandru Tudorie,25,Romania,Centre-Forward,CF,1000000.0,Sepsi OSK,Romania,0.0,out,winter,Premier Liga,2021,False,
Arsenal Tula,Ruslan Kambolov,32,Russia,Defensive Midfield,DM,,Aktobe,Kazakhstan,0.0,out,winter,Premier Liga,2021,False,
Arsenal Tula,Aleksandr Dovbnya,26,Russia,Centre-Back,CB,,Qyzyljar,Kazakhstan,0.0,out,winter,Premier Liga,2021,False,
Arsenal Tula,Valeriy Gromyko,25,Belarus,Attacking Midfield,AM,,BATE Borisov,Belarus,0.0,out,winter,Premier Liga,2021,False,
Arsenal Tula,Axel Björnström,26,Sweden,Left-Back,LB,,AIK,Sweden,0.0,out,winter,Premier Liga,2021,False,
Arsenal Tula,Zuriko Davitashvili,21,Georgia,Right Winger,RW,3000000.0,Dinamo Batumi,Georgia,0.0,out,winter,Premier Liga,2021,False,
CSKA Moscow,Maksim Mukhin,19,Russia,Defensive Midfield,DM,3000000.0,Loko Moscow,Russia,,in,summer,Premier Liga,2021,False,
CSKA Moscow,Anton Zabolotnyi,30,Russia,Centre-Forward,CF,1000000.0,Sochi,Russia,0.0,in,summer,Premier Liga,2021,False,
CSKA Moscow,Nikola Vlašić,23,Croatia,Attacking Midfield,AM,15000000.0,West Ham,England,30000000.0,out,summer,Premier Liga,2021,False,
CSKA Moscow,Konstantin Maradishvili,21,Russia,Defensive Midfield,DM,1800000.0,Loko Moscow,Russia,7000000.0,out,summer,Premier Liga,2021,False,
CSKA Moscow,Nair Tiknizyan,22,Armenia,Left-Back,LB,5000000.0,Loko Moscow,Russia,5500000.0,out,summer,Premier Liga,2021,False,
