club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AC Milan,Fikayo Tomori,23,England,Centre-Back,CB,40000000.0,Chelsea,England,31600000.0,in,summer,Serie A,2021,False,
AC Milan,Mike Maignan,25,France,Goalkeeper,GK,45000000.0,LOSC Lille,France,15400000.0,in,summer,Serie A,2021,False,
AC Milan,Sandro Tonali,21,Italy,Defensive Midfield,DM,60000000.0,Brescia,Italy,14500000.0,in,summer,Serie A,2021,False,
AC Milan,Yacine Adli,21,France,Attacking Midfield,AM,8000000.0,G. Bordeaux,France,8500000.0,in,summer,Serie A,2021,False,
AC Milan,Fodé Ballo-Touré,24,Senegal,Left-Back,LB,3500000.0,Monaco,France,5400000.0,in,summer,Serie A,2021,False,
AC Milan,Olivier Giroud,34,France,Centre-Forward,CF,4000000.0,Chelsea,England,2850000.0,in,summer,Serie A,2021,False,
AC Milan,Antonio Mirante,38,Italy,Goalkeeper,GK,,Without Club,,,in,summer,Serie A,2021,False,
AC Milan,Diego Laxalt,28,Uruguay,Left-Back,LB,2800000.0,Dynamo Moscow,Russia,3500000.0,out,summer,Serie A,2021,False,
AC Milan,Antonio Donnarumma,31,Italy,Goalkeeper,GK,,Padova,Italy,0.0,out,summer,Serie A,2021,False,
AC Milan,Hakan Çalhanoğlu,27,Turkey,Defensive Midfield,DM,40000000.0,Inter,Italy,0.0,out,summer,Serie A,2021,False,
AC Milan,Gianluigi Donnarumma,22,Italy,Goalkeeper,GK,45000000.0,Paris SG,France,0.0,out,summer,Serie A,2021,False,
AC Milan,Mario Mandzukic,35,Croatia,Centre-Forward,CF,,,,,out,summer,Serie A,2021,False,
AC Milan,Marko Lazetić,18,Serbia,Centre-Forward,CF,2000000.0,Red Star,Serbia,4500000.0,in,winter,Serie A,2021,False,
AC Milan,Andrea Conti,27,Italy,Right-Back,RB,,Sampdoria,Italy,0.0,out,winter,Serie A,2021,False,
AC Milan,Alessandro Sala,20,Italy,Central Midfield,CM,,Pro Sesto,Italy,0.0,out,winter,Serie A,2021,False,
ACF Fiorentina,Nicolás González,23,Argentina,Right Winger,RW,35000000.0,VfB Stuttgart,Germany,24500000.0,in,summer,Serie A,2021,False,
ACF Fiorentina,Igor,23,Brazil,Centre-Back,CB,15000000.0,SPAL,Italy,7650000.0,in,summer,Serie A,2021,False,
ACF Fiorentina,Matija Nastasic,28,Serbia,Centre-Back,CB,1500000.0,FC Schalke 04,Germany,,in,summer,Serie A,2021,False,
ACF Fiorentina,Pol Lirola,24,Spain,Right-Back,RB,2000000.0,Marseille,France,13000000.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Alban Lafont,22,France,Goalkeeper,GK,13000000.0,FC Nantes,France,7500000.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Germán Pezzella,30,Argentina,Centre-Back,CB,5000000.0,Real Betis,Spain,3250000.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Federico Ceccherini,29,Italy,Centre-Back,CB,1500000.0,Hellas Verona,Italy,3000000.0,out,summer,Serie A,2021,False,
ACF Fiorentina,David Hancko,23,Slovakia,Centre-Back,CB,30000000.0,Sparta Prague,Czech Republic,2500000.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Julián Illanes,24,Argentina,Centre-Back,CB,,Pescara,Italy,,out,summer,Serie A,2021,False,
ACF Fiorentina,Petko Hristov,22,Bulgaria,Centre-Back,CB,,Spezia Calcio,Italy,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Franck Ribéry,38,France,Left Winger,LW,,Salernitana,Italy,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Marco Meli,21,Italy,Attacking Midfield,AM,,Robur Siena,Italy,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Niccolò Bigica,20,Italy,Central Midfield,CM,,Trento,Italy,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Rafik Zekhnini,23,Norway,Left Winger,LW,,Molde FK,Norway,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Erald Lakti,21,Albania,Central Midfield,CM,,Lecco,Italy,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Kevin Diks,24,Netherlands,Centre-Back,CB,3000000.0,FC Copenhagen,Denmark,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Borja Valero,36,Spain,Central Midfield,CM,,CS Lebowski,Italy,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Valentin Eysseric,29,France,Attacking Midfield,AM,1300000.0,Kasimpasa,Turkey,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Maximiliano Olivera,29,Uruguay,Left-Back,LB,1500000.0,FC Juárez,Mexico,0.0,out,summer,Serie A,2021,False,
ACF Fiorentina,Martín Cáceres,34,Uruguay,Centre-Back,CB,,Without Club,,,out,summer,Serie A,2021,False,
ACF Fiorentina,Marco Marozzi,22,Italy,Right Midfield,RM,,Without Club,,,out,summer,Serie A,2021,False,
ACF Fiorentina,Pierluigi Pinto,22,Italy,Centre-Back,CB,,Without Club,,,out,summer,Serie A,2021,False,
ACF Fiorentina,Martin Graiciar,22,Czech Republic,Centre-Forward,CF,,Without Club,,,out,summer,Serie A,2021,False,
ACF Fiorentina,Arthur Cabral,23,Brazil,Centre-Forward,CF,20000000.0,FC Basel,Switzerland,15500000.0,in,winter,Serie A,2021,False,
ACF Fiorentina,Jonathan Ikoné,23,France,Right Winger,RW,16000000.0,LOSC Lille,France,15400000.0,in,winter,Serie A,2021,False,
ACF Fiorentina,Dušan Vlahović,22,Serbia,Centre-Forward,CF,70000000.0,Juventus,Italy,83500000.0,out,winter,Serie A,2021,False,
ACF Fiorentina,Mattia Trovato,24,Italy,Right Winger,RW,,Rende,Italy,0.0,out,winter,Serie A,2021,False,
AS Roma,Tammy Abraham,23,England,Centre-Forward,CF,35000000.0,Chelsea,England,41000000.0,in,summer,Serie A,2021,False,
AS Roma,Marash Kumbulla,21,Albania,Centre-Back,CB,8000000.0,Hellas Verona,Italy,26500000.0,in,summer,Serie A,2021,False,
AS Roma,Eldor Shomurodov,26,Uzbekistan,Centre-Forward,CF,6000000.0,Genoa,Italy,18000000.0,in,summer,Serie A,2021,False,
AS Roma,Matías Viña,23,Uruguay,Left-Back,LB,8000000.0,Palmeiras,Brazil,13000000.0,in,summer,Serie A,2021,False,
AS Roma,Rui Patrício,33,Portugal,Goalkeeper,GK,5000000.0,Wolves,England,11800000.0,in,summer,Serie A,2021,False,
AS Roma,Roger Ibañez,22,Brazil,Centre-Back,CB,28000000.0,Atalanta BC,Italy,9000000.0,in,summer,Serie A,2021,False,
AS Roma,Bryan Reynolds,20,United States,Right-Back,RB,4000000.0,Dallas,United States,6850000.0,in,summer,Serie A,2021,False,
AS Roma,Mert Çetin,24,Turkey,Centre-Back,CB,1000000.0,Hellas Verona,Italy,7800000.0,out,summer,Serie A,2021,False,
