club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
AEK Athens,Sergio Araujo,29,Argentina,Centre-Forward,CF,3000000.0,UD Las Palmas,Spain,1460000.0,in,summer,Super League 1,2021,False,
AEK Athens,Cican Stankovic,28,Austria,Goalkeeper,GK,1500000.0,RB Salzburg,Austria,1150000.0,in,summer,Super League 1,2021,False,
AEK Athens,Clément Michelin,24,France,Right-Back,RB,1200000.0,Lens,France,1000000.0,in,summer,Super League 1,2021,False,
AEK Athens,Georgios Tzavellas,33,Greece,Centre-Back,CB,,Alanyaspor,Turkey,,in,summer,Super League 1,2021,False,
AEK Athens,Gerasimos Mitoglou,21,Greece,Centre-Back,CB,1200000.0,Volos NPS,Greece,,in,summer,Super League 1,2021,False,
AEK Athens,Damien Le Tallec,31,France,Defensive Midfield,DM,,Montpellier,France,0.0,in,summer,Super League 1,2021,False,
AEK Athens,Ognjen Vranjes,31,Bosnia-Herzegovina,Centre-Back,CB,,RSC Anderlecht,Belgium,0.0,in,summer,Super League 1,2021,False,
AEK Athens,Ehsan Hajsafi,31,Iran,Left-Back,LB,,Sepahan,Iran,0.0,in,summer,Super League 1,2021,False,
AEK Athens,Nordin Amrabat,34,Morocco,Right Winger,RW,,Al-Nassr,Saudi Arabia,0.0,in,summer,Super League 1,2021,False,
AEK Athens,Lazaros Rota,24,Greece,Right-Back,RB,1800000.0,Fortuna Sittard,Netherlands,0.0,in,summer,Super League 1,2021,False,
AEK Athens,Milad Mohammadi,27,Iran,Left-Back,LB,1500000.0,KAA Gent,Belgium,0.0,in,summer,Super League 1,2021,False,
AEK Athens,Ionuţ Nedelcearu,25,Romania,Centre-Back,CB,1500000.0,Crotone,Italy,1250000.0,out,summer,Super League 1,2021,False,
AEK Athens,Daniele Verde,25,Italy,Right Winger,RW,2200000.0,Spezia Calcio,Italy,,out,summer,Super League 1,2021,False,
AEK Athens,Nenad Krsticic,30,Serbia,Central Midfield,CM,,Red Star,Serbia,0.0,out,summer,Super League 1,2021,False,
AEK Athens,Nélson Oliveira,29,Portugal,Centre-Forward,CF,,PAOK Salonika,Greece,0.0,out,summer,Super League 1,2021,False,
AEK Athens,Stavros Vasilantonopoulos,29,Greece,Right-Back,RB,,Atromitos,Greece,0.0,out,summer,Super League 1,2021,False,
AEK Athens,Giannis Sardelis,20,Greece,Attacking Midfield,AM,,Panathinaikos B,Greece,0.0,out,summer,Super League 1,2021,False,
AEK Athens,Hélder Lopes,32,Portugal,Left-Back,LB,,H. Beer Sheva,Israel,0.0,out,summer,Super League 1,2021,False,
AEK Athens,Dmytro Chygrynskyi,34,Ukraine,Centre-Back,CB,,Without Club,,,out,summer,Super League 1,2021,False,
AEK Athens,David Simão,31,Portugal,Central Midfield,CM,,Without Club,,,out,summer,Super League 1,2021,False,
AEK Athens,Alexander Fransson,27,Sweden,Central Midfield,CM,,Norrköping,Sweden,0.0,in,winter,Super League 1,2021,False,
AEK Athens,Emanuel Insúa,30,Argentina,Left-Back,LB,,Vélez Sarsfield,Argentina,0.0,out,winter,Super League 1,2021,False,
AEK Athens,Nassim Hnid,24,Tunisia,Centre-Back,CB,,Without Club,,,out,winter,Super League 1,2021,False,
Apollon Smyrnis,Wajdi Sahli,24,France,Left Winger,LW,,Kaspiy Aktau,Kazakhstan,0.0,in,summer,Super League 1,2021,False,
Apollon Smyrnis,Fabry Castro,29,Colombia,Defensive Midfield,DM,,PAS Giannina,Greece,0.0,in,summer,Super League 1,2021,False,
Apollon Smyrnis,Georgios Pamlidis,27,Greece,Right Winger,RW,,PAS Giannina,Greece,0.0,in,summer,Super League 1,2021,False,
Apollon Smyrnis,Florentin Matei,28,Romania,Attacking Midfield,AM,,Apol. Limassol,Cyprus,0.0,in,summer,Super League 1,2021,False,
Apollon Smyrnis,Ilias Kyritsis,23,Greece,Goalkeeper,GK,,AO Kavala,Greece,0.0,in,summer,Super League 1,2021,False,
