club,name,age,nationality,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status
Adana Demirspor,David Akintola,25,Nigeria,Right Winger,RW,2200000.0,FC Midtjylland,Denmark,1000000.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Metehan Mimaroğlu,27,Turkey,Left Winger,LW,,Altinordu,Turkey,,in,summer,Super Lig,2021,False,
Adana Demirspor,Simon Deli,29,Cote d'Ivoire,Centre-Back,CB,,Club Brugge,Belgium,,in,summer,Super Lig,2021,False,
Adana Demirspor,Tayfun Aydoğan,25,Turkey,Central Midfield,CM,,Menemenspor,Turkey,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,İsa Güler,22,Turkey,Centre-Forward,CF,,Bayrampasa,Turkey,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Bünyamin Balat,24,Turkey,Attacking Midfield,AM,,Bayrampasa,Turkey,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Lucas Castro,32,Argentina,Attacking Midfield,AM,,Karagümrük,Turkey,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Mario Balotelli,30,Italy,Centre-Forward,CF,1200000.0,Monza,Italy,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Birkir Bjarnason,33,Iceland,Central Midfield,CM,,Brescia,Italy,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Jonas Svensson,28,Norway,Right-Back,RB,2800000.0,AZ Alkmaar,Netherlands,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Ferhat Kaplan,32,Turkey,Goalkeeper,GK,,Antalyaspor,Turkey,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Britt Assombalonga,28,DR Congo,Centre-Forward,CF,1600000.0,Middlesbrough,England,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Benjamin Stambouli,30,France,Defensive Midfield,DM,1000000.0,FC Schalke 04,Germany,0.0,in,summer,Super Lig,2021,False,
Adana Demirspor,Younès Belhanda,31,Morocco,Attacking Midfield,AM,2000000.0,Without Club,,,in,summer,Super Lig,2021,False,
Adana Demirspor,Enock Barwuah,28,Italy,Centre-Forward,CF,,Without Club,,,in,summer,Super Lig,2021,False,
Adana Demirspor,Emilijus Zubas,31,Lithuania,Goalkeeper,GK,,Arouca,Portugal,,out,summer,Super Lig,2021,False,
Adana Demirspor,Lucas Castro,33,Argentina,Attacking Midfield,AM,,Sarmiento Junin,Argentina,0.0,out,summer,Super Lig,2021,False,
Adana Demirspor,Hasan Kılıç,28,Turkey,Central Midfield,CM,,Samsunspor,Turkey,0.0,out,summer,Super Lig,2021,False,
Adana Demirspor,Hamza Ok,27,Turkey,Defensive Midfield,DM,,Afyonspor,Turkey,0.0,out,summer,Super Lig,2021,False,
Adana Demirspor,Levent Ayçiçek,27,Germany,Right Winger,RW,,Bandirmaspor,Turkey,0.0,out,summer,Super Lig,2021,False,
