sofifa_id,player_url,short_name,long_name,age_x,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_name,player_short_name,club,name,age_y,position,short_pos,market_value,dealing_club,dealing_country,fee,movement,window,league,season,is_loan,loan_status,normalized_name
183277,https://sofifa.com/player/183277/eden-hazard/190002,E. Hazard,Eden Hazard,27,1/7/1991,173,74,Belgium,Chelsea,English Premier League,1,91,91,93000000,325000,"LW, CF",Right,4,4,4,High/Medium,Normal,Yes,172100000,"#Speedster, #Dribbler, #Acrobat",LW,10,,7/1/2012,2020,LF,10,91,82,86,94,35,67,,,,,,,"Beat Offside Trap, Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)",81,84,61,89,80,95,83,79,83,94,93,89,95,90,94,80,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,eden hazard,e. hazard,Real Madrid,Eden Hazard,28,Left Winger,LW,,Chelsea,England,115000000,in,summer,Laliga,2019,FALSE,,eden hazard
194765,https://sofifa.com/player/194765/antoine-griezmann/190002,A. Griezmann,Antoine Griezmann,27,3/21/1991,176,73,France,Atlético Madrid,Spain Primera Division,1,89,90,78000000,140000,ST,Left,4,3,4,High/High,Lean,Yes,165800000,"#Dribbler, #Acrobat, #Clinical Finisher",LS,7,,7/29/2014,2023,CAM,7,86,86,81,89,50,70,,,,,,,"Beat Offside Trap, Finesse Shot, Speed Dribbler (AI)",82,92,84,82,87,88,84,76,76,90,88,85,90,90,80,80,90,81,62,82,69,35,91,81,74,87,59,43,44,14,8,14,13,14,antoine griezmann,a. griezmann,FC Barcelona,Antoine Griezmann,28,Centre-Forward,CF,25000000,Atlético Madrid,Spain,120000000,in,summer,Laliga,2019,FALSE,,antoine griezmann
178603,https://sofifa.com/player/178603/mats-hummels/190002,M. Hummels,Mats Hummels,29,12/16/1988,191,92,Germany,FC Bayern München,German 1. Bundesliga,1,89,89,51500000,170000,CB,Right,4,3,3,High/Medium,Normal,Yes,85000000,"#Tackling, #Tactician",LCB,5,,7/1/2016,2021,LCB,5,65,58,76,72,90,76,,,,,,,"Long Passer (AI), Playmaker (AI)",64,55,87,82,60,68,65,53,85,81,62,68,63,88,60,71,68,66,85,51,69,92,56,79,68,91,89,92,90,15,6,10,5,6,mats hummels,m. hummels,Borussia Dortmund,Mats Hummels,30,Centre-Back,CB,6000000,Bayern Munich,Germany,30500000,in,summer,1 Bundesliga,2019,FALSE,,mats hummels
190460,https://sofifa.com/player/190460/christian-eriksen/190002,C. Eriksen,Christian Dannemann Eriksen,26,2/14/1992,181,76,Denmark,Tottenham Hotspur,English Premier League,1,88,91,73500000,200000,"CAM, RM, CM",Right,3,5,4,High/Medium,Lean,Yes,141500000,"#Playmaker, #Crosser, #FK Specialist, #Complete Midfielder",RM,23,,8/30/2013,2020,CAM,10,74,82,89,86,53,64,,,,,,,"Flair, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI), Takes Finesse Free Kicks",88,80,52,91,76,84,86,87,87,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6,christian eriksen,c. eriksen,Inter Milan,Christian Eriksen,27,Attacking Midfield,AM,18000000,Tottenham,England,27000000,in,winter,Serie A,2019,FALSE,,christian eriksen
192505,https://sofifa.com/player/192505/romelu-lukaku/190002,R. Lukaku,Romelu Lukaku Menama,25,5/13/1993,190,94,Belgium,Manchester United,English Premier League,1,87,89,62500000,225000,ST,Left,3,4,3,Medium/Medium,Stocky,Yes,120300000,"#Poacher, #Strength",ST,9,,7/10/2017,2022,ST,9,84,84,76,75,35,87,,,,,,,"Beat Offside Trap, Leadership, Speed Dribbler (AI), Power Header, Target Forward",78,88,87,78,79,81,74,66,74,74,77,90,60,87,46,88,71,84,94,74,76,27,89,76,78,83,30,30,30,8,15,14,7,10,romelu lukaku,r. lukaku,Inter Milan,Romelu Lukaku,26,Centre-Forward,CF,40000000,Man Utd,England,74000000,in,summer,Serie A,2019,FALSE,,romelu lukaku
193041,https://sofifa.com/player/193041/keylor-navas/190002,K. Navas,Keylor Navas Gamboa,31,12/15/1986,185,80,Costa Rica,Real Madrid,Spain Primera Division,1,87,87,30500000,190000,GK,Right,3,3,1,Medium/Medium,Normal,Yes,62500000,,GK,1,,8/4/2014,2020,,,,,,,,,90,81,75,90,53,82,"GK Up for Corners, GK Long Throw, Cautious With Crosses",11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90,keylor navas,k. navas,Paris Saint-Germain,Keylor Navas,32,Goalkeeper,GK,3000000,Real Madrid,Spain,15000000,in,summer,Ligue 1,2019,FALSE,,keylor navas
216594,https://sofifa.com/player/216594/nabil-fekir/190002,N. Fekir,Nabil Fekir,24,7/18/1993,173,75,France,Olympique Lyonnais,French Ligue 1,1,85,89,50000000,90000,"CAM, ST",Left,3,3,4,High/Medium,Stocky,Yes,98800000,"#Dribbler, #Acrobat",CAM,18,,7/1/2013,2020,SUB,18,79,82,81,89,33,79,,,,,,,"Flair, Chip Shot (AI), Technical Dribbler (AI), Backs Into Player",83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,81,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15,nabil fekir,n. fekir,Real Betis Balompié,Nabil Fekir,26,Attacking Midfield,AM,15000000,Olympique Lyon,France,19750000,in,summer,Laliga,2019,FALSE,,nabil fekir
207410,https://sofifa.com/player/207410/mateo-kovacic/190002,M. Kovačić,Mateo Kovačić,24,5/6/1994,178,78,Croatia,Chelsea,English Premier League,1,83,89,35000000,120000,CM,Right,3,4,4,High/High,Normal,Yes,,"#Dribbler, #Playmaker",SUB,17,Real Madrid,,2019,,,79,69,82,86,69,72,,,,,,,"Flair, Playmaker (AI), Technical Dribbler (AI)",73,62,42,87,76,88,78,68,82,89,84,74,80,68,85,79,63,82,65,75,77,78,69,88,59,72,69,75,63,9,5,6,7,7,mateo kovacic,m. kovacic,Chelsea FC,Mateo Kovacic,25,Central Midfield,CM,38000000,Real Madrid,Spain,45000000,in,summer,Premier League,2019,FALSE,,mateo kovacic
208808,https://sofifa.com/player/208808/quincy-promes/190002,Q. Promes,Quincy Anton Promes,26,1/4/1992,174,72,Netherlands,Spartak Moscow,Russian Premier League,1,83,84,30500000,3000,"LM, ST, RM",Right,2,4,5,High/Low,Lean,No,66300000,"#Speedster, #Acrobat, #Clinical Finisher",LW,10,,8/8/2014,2021,SUB,21,90,83,78,83,32,67,,,,,,,"Power Free-Kick, Selfish, Flair, Long Shot Taker (AI), Speed Dribbler (AI)",79,86,60,78,69,84,75,76,73,82,89,91,87,82,79,82,82,83,61,83,60,27,79,81,74,78,35,24,27,10,13,6,7,13,quincy promes,q. promes,Ajax Amsterdam,Quincy Promes,27,Left Winger,LW,6000000,Sevilla FC,Spain,15700000,in,summer,Eredivisie,2019,FALSE,,quincy promes
189068,https://sofifa.com/player/189068/bas-dost/190002,B. Dost,Bas Dost,29,5/31/1989,196,89,Netherlands,Sporting CP,Portuguese Liga ZON SAGRES,1,83,83,26000000,30000,ST,Right,3,3,2,Medium/Medium,Lean,No,52000000,"#Poacher, #Aerial Threat, #Strength, #Complete Forward",ST,28,,8/28/2016,2021,,,52,83,57,65,45,83,,,,,,,"Power Header, Target Forward",38,87,94,73,85,68,61,30,37,74,49,54,32,85,32,82,51,82,92,72,70,39,89,68,88,81,38,45,26,6,12,15,11,8,bas dost,b. dost,Eintracht Frankfurt,Bas Dost,30,Centre-Forward,CF,1300000,Sporting CP,Portugal,7000000,in,summer,1 Bundesliga,2019,FALSE,,bas dost
220814,https://sofifa.com/player/220814/lucas-hernandez/190002,L. Hernández,Lucas Hernández Pi,22,2/14/1996,182,76,France,Atlético Madrid,Spain Primera Division,1,82,89,26000000,50000,"LB, CB",Left,1,3,3,Medium/High,Normal,Yes,58500000,,SUB,21,,8/18/2013,2024,LB,21,82,47,68,71,80,78,,,,,,,Power Header,78,42,83,80,38,65,53,28,63,79,80,84,70,80,67,62,83,77,76,47,82,81,50,55,34,72,72,83,86,10,7,8,14,10,lucas hernandez,l. hernandez,Bayern Munich,Lucas Hernández,23,Centre-Back,CB,45000000,Atlético Madrid,Spain,80000000,in,summer,1 Bundesliga,2019,FALSE,,lucas hernandez
212194,https://sofifa.com/player/212194/julian-brandt/190002,J. Brandt,Julian Brandt,22,5/2/1996,185,82,Germany,Bayer 04 Leverkusen,German 1. Bundesliga,1,82,88,30500000,70000,"LM, RM, CAM",Right,2,4,4,Medium/Medium,Normal,Yes,58000000,#Dribbler,RM,10,,1/1/2014,2021,SUB,20,81,77,78,85,30,64,,,,,,,"Flair, Technical Dribbler (AI)",77,78,42,82,66,87,72,59,69,85,78,83,82,80,78,80,63,73,68,78,42,29,78,83,54,69,38,20,24,11,16,11,8,9,julian brandt,j. brandt,Borussia Dortmund,Julian Brandt,23,Attacking Midfield,AM,40000000,B. Leverkusen,Germany,25000000,in,summer,1 Bundesliga,2019,FALSE,,julian brandt
203263,https://sofifa.com/player/203263/harry-maguire/190002,H. Maguire,Harry Maguire,25,3/5/1993,194,100,England,Leicester City,English Premier League,1,82,84,22500000,80000,CB,Right,1,3,2,High/High,Normal,Yes,44400000,"#Aerial Threat, #Strength",LCB,15,,6/15/2017,2022,LCB,6,47,46,63,69,81,82,,,,,,,"Injury Free, Power Header",44,40,87,77,40,70,37,46,72,74,39,53,52,76,58,66,74,67,89,40,83,77,59,60,42,76,80,83,80,14,16,9,14,9,harry maguire,h. maguire,Manchester United,Harry Maguire,26,Centre-Back,CB,20000000,Leicester,England,87000000,in,summer,Premier League,2019,FALSE,,harry maguire
